Company name,City / Location,Industry Segment,Website,Revenue Band,DSIR Recognition Evidence,Promoter / Decision-Maker,Growth Signals
Horizon Reclaim  (India) Limited,"2025. Our Company’s Corporate Identity Number is U25206UP2006PLC032294. For details of change in Registered office of our Company, please refer to the chapter titled “History and Certain Corporate Matters” on page 149 of the Draft Red Herring Prospectus.",See DRHP ‘Industry / Business overview’ section.,https://horizonreclaim.com/; www.gyrcapitaladvisors.com; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Deeksha Thakral Company Secretary; Mr. Mohit Baid SEBI Registration Number; Ms. Neha Ahuja; Mr. Raj Mehta,capacity expansion
Susan Electricals India Limited,"Flat No. 1703, 17th Floor, Nirmal Tower 26, Barakhamba Road, New Delhi-110001, Delhi (admeasuring 450.00 Sqft) Rent Mr. Aman Singh Panwar Obtained on rent from Mr. Aman Singh Panwar for a period of eleven (11) months commen",See DRHP ‘Industry / Business overview’ section.,https://seil.net.in/; https://serencapital.in/; www.mudrarta.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Mahak Jain,capacity expansion
Quanto Agroworld Limited,"Express Highway, Behind Express Zone, Goregaon East, Mumbai – 400 063, Maharashtra, India “we” or “us” or “our” Unless the context otherwise indicates or implies, refers to our Company, our Subsidiaries or Group Companies.",See DRHP ‘Industry / Business overview’ section.,https://in.mpms.mufg.com/; www.quantoagro.com; www.sobhagyacapital.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP PDF could not be downloaded.,ISO certification mentioned; subsidiary / group structure
Navkkar Gold & Diamond Limited,"Registered Office: SCO 19, Sector 34C, Sector 34(Chandigarh), Chandigarh -160022 India; Tel. No.: +91 01722623796; Email: info@navkkarjewellers.com; Website: www.navkkarjewellers.com; Contact Person: Mr. Chirag Bharatbhai Ghataliya, Company Secretary & Compliance Officer",See DRHP ‘Industry / Business overview’ section.,www.navkkarjewellers.com; www.skylinerta.com; www.wealthminenetworks.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Chirag Bharatbhai Ghataliya; Mr. Vivek Jain; Mrs. Taruna Jain; Ms. Muskan Jain; Ms. Dhawani Jain; Mr. Jinesh Jain; Mr. Yogesh Jain; Mr. Vivek Jain March; Mr. Yogesh Jain Negligible Negligible July; Mr. Jinesh Jain Negligible Negligible July,subsidiary / group structure
Anand Seamless Limited,"Ronak Jhuthawat & Co., Practi",See DRHP ‘Industry / Business overview’ section.,http://www.aftertrade.in; https://www.anandseamless.com/; www.in.mpms.mufg.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP PDF could not be downloaded.,capex / capital expenditure; subsidiary / group structure
Futurex Management Solution Limited,"198 & 199, First Floor, Pocket -3, Sector - 24, Rohini, Northwest, Delhi, 110085 Ground Floor, Viraat I, C-56/35, Sector - 62, Noida 201309 Shweta Bansal Company Secretary and Compliance Officer Email: cs@futurexsolutions.com Tel No: 011-41687775 www.futurexsolutions. com PROMOTERS OF OUR COMPANY: RAVI GAHLOT AND SULEKHA GAHLOT DETAILS OF THE OFFER TYPE FRESH ISSUE SIZE",See DRHP ‘Industry / Business overview’ section.,www.futurexsolutions; www.futurexsolutions.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP PDF could not be downloaded.,subsidiary / group structure
Lorven International Limited,"regularize such compliance, our Company has filed a compounding application before the Regional Director, West- ern Region, Mumbai on February 02, 2026. As on the date of this Offer Document, the said compounding application is pending adjudication and no hearing has been conducted.",See DRHP ‘Industry / Business overview’ section.,https://lorveninternational.in; https://www.Bigshareonline.Com; www.Bigshareonline.Com; www.ifinservices.in,2 lakhs,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Sohil Nitin Savla. CIN Corporate Identification; Ms. Meenakshi Jain Depositories Act The Depositories; Pankaj Baldevkumar Aggarwal; Sangeeta Deepak Aggarwal; Rupen Deepak,capex / capital expenditure; ISO certification mentioned; subsidiary / group structure
Sham Foam Limited,Promoters and the same property has been used as security for loan taken by our Company for its machineries:,"As on date of the Draft Prospectus, our Company has been using the following brand names for marketing and distribution of",www.alankitassignments.com; www.corporatemakers.in; www.navigantcorp.com; www.shamfoam.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Reetika Dhain; Mr. Manish Kumar Singh SEBI Registration Number; Mr. Gagan Goel CIN; Mr. Harish Chandra Agrawal SEBI Registration No; Ms. Reetika Dhain Company Secretary; Mr. Rajinder Kumar Jindal; Mr. Sanjeev Kumar Jindal; Ms. Monica Jindal; Ms. Deepika Jindal; Mr. Abhinav Jindal,capacity expansion
Twinkle Papers limited,110001 Telephone: +91 9910990488 Email: mb@novuscaps.com; Twinkleipo@novuscaps.com Website: www.novuscaps.com Investor Grievance Email: investor@novuscaps.com Contact Person: Ms. Sakshi/Ms. Neha Mehra SEBI registration number: INM000012500,See DRHP ‘Industry / Business overview’ section.,https://twinklepapers.com/; https://www.alankit.com/; www.novuscaps.com,91.51 crores,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,capacity expansion; hiring / recruitment; facility expansion
Fusion Klassroom Edutech Limited,"Mumbai office at Matruprabha, Ground Floor, Plot No -78, CTS No-2731, Daulat Nagar Road 7, Borivali East, Mumbai – 400066 for 22 months, ending on May 02, 2027. The lease deed has been executed on an arm ’s length basis and the terms and conditions of the lease, including the lease rental are fair, reasonable and consistent with prevailing market practices.",See DRHP ‘Industry / Business overview’ section.,www.klassroom.in; www.maashitla.com; www.narnolia.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Jinal Karen Vora PROMOTERS OF; Mr. Suniel Shetty; Ms. Jinal Karen Vora,ISO certification mentioned
MILLWORKS TECHNOLOGIES LIMITED,"PERSON EMAIL ID AND TELEPHONE WEBSITE No.458/1, 10th a Cross, Phase-4, Peenya Industrial Area, Peenya Small Industries, Bangalore, Bangalore north, Karnataka, India – 560058 Mr. Srivathsan K N Company Secretary and Compliance Officer Email-id cs@millworksindia.com Investor Grievance Maid Id: Investor.Relations@millworksindia.com Tel.: +91 9187045959",See DRHP ‘Industry / Business overview’ section.,https://millworksindia.com/,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Sridhar Acharya,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Liqvd Digital India Limited,"AT LEAST TW O WORKING DAYS PRIOR TO THE BID/ OFFER OPENING DATE AND SHALL BE MADE AVAILABLE TO THE SME PLATFORM OF BSE (“BSE SME”) FOR THE PURPOSES OF UPLOADING ON THEIR WEBSITE, IN ACCORDANCE WITH THE SEBI ICDR REGULATIONS.",See DRHP ‘Industry / Business overview’ section.,https://liqvd.asia/,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,subsidiary / group structure
Liqvd Digital India Limited,"AT LEAST TW O WORKING DAYS PRIOR TO THE BID/ OFFER OPENING DATE AND SHALL BE MADE AVAILABLE TO THE SME PLATFORM OF BSE (“BSE SME”) FOR THE PURPOSES OF UPLOADING ON THEIR WEBSITE, IN ACCORDANCE WITH THE SEBI ICDR REGULATIONS.",See DRHP ‘Industry / Business overview’ section.,https://liqvd.asia/,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,subsidiary / group structure
Panchatv Bharat limited,"of the Draft Prospectus, the Corporate Identification Number of our Company is U13999DL2024PLC427903. For further details, please refer to the chapter titled “",See DRHP ‘Industry / Business overview’ section.,https://www.markcorporateadvisors.com/; https://www.panchatvlimited.com/; www.maashitla.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Paluck Technologies Limited,"Company, please refer to the chapter titled “History and Certain Corporate Matters” on page 176 of this Draft Red Herring Prospectus.",See DRHP ‘Industry / Business overview’ section.,https://palucktechno.com/; www.horizonmanagement.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Ganesh Shinde SEBI Registration No; Mr. Sumit Kumar Bajaj; in dematerialized form,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Technocrats Plasma Systems Limited,"108, Nirav -2, Gaon Devi Industrial Estate, Sativali, Vasai East, Dist. Palghar – 401 208, Maharashtra, India. Promoters/Our Promoters The Promoters of our Company being Arun Kumar and Vandana Sharma. Promoter Group Such persons , entities and companies constituting our promoter group pursuant to Regulation 2(1) (pp) of the SEBI (ICDR) Regulations.",See DRHP ‘Industry / Business overview’ section.,www.technocratplasma.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
UHM Vacation Limited,"C 715, Dattani Plaza, Near E W Ind Est, Safed Pool, Saki Naka, Andheri (East), Mumbai - 400072, Maharashtra, India Sanchita Dad, Company Secretary and Compliance Officer Email: cs@uhmvacation.com Telephone: 02246079484",See DRHP ‘Industry / Business overview’ section.,www.uhmvacation.com/,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,subsidiary / group structure
Fly-Hi Maritime Travels Limited,Our Company” on page no 166:,See DRHP ‘Industry / Business overview’ section.,www.corporatemakers.in; www.kfintech.com,1 Crore,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: unable or unwilling to continue in their present position; we may not be able to replace them; Mr. Satish Kumar Gupta SEBI Registration No,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Craftech Paper Mills Limited,"Karwa Complex, Opp",See DRHP ‘Industry / Business overview’ section.,www.craftechpaper.com; www.horizonmanagement.in; www.maashitla.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Narendra Bajaj SEBI Registration No; Mr. Mukul Agrawal SEB,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Dhnawel Hybrid Seeds Limited,Corporate Identification Number of our Company is U46101GJ2024PLC148851.,See DRHP ‘Industry / Business overview’ section.,www.cameoindia.com; www.dhanwelseeds.com; www.wealthminenetworks.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Kishankumar Gordhanbhai Meghani Chairman; Mr. Nikunj Mansukhlal Suvagiya Non; Mr. Sudhir Mohanbhai Pipaliya Non; Mr. Vimal Mansukhbhai Vekariya Whole; Ms. Dixita Rajendrasinh Chauhan Chief Financial; Ms. Keshvi Akshay Barasiya Non; Ms. Parul Agarwal; Ms. Parul Agarwal Company Secretary,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Larisa Hotels and Resorts Limited,"Centre issued a new certificate of incorporation consequent upon conversion dated October 08, 2024, bearing",See DRHP ‘Industry / Business overview’ section.,https://larisahotelsandresorts.co; https://larisahotelsandresorts.com/,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,subsidiary / group structure
