Company Name,City,Industry Segment,Website,Revenue Band,Differentiation Evidence,Promoter/Decision-Maker,Growth Signals,Tailwinds,Source,CIN,Industry Segment (raw),Evidence Tags Normalized,C1_Manufacturer,C1_Notes,C2_India_Based,C2_Notes,C3_Differentiation,C3_Notes,C4_Technical_DM,C4_Notes,C5_Tailwinds,C5_Notes,C6_Growth_Signals,C6_Notes,ICP_Criteria_Met_Count,ICP_Coverage_Score,ICP_Weighted_Score,_dedupe_group_size,LLM_C1,LLM_C2,LLM_C3,LLM_C4,LLM_C5,LLM_C6,LLM_Note,Blended_C1,Blended_C2,Blended_C3,Blended_C4,Blended_C5,Blended_C6,ICP_Blended_Weighted_Score,LLM_Blend_Alpha,LLM_Model,Step8_Reject_Tags,Step8_Dedupe_Winner_Company,Step8_Dedupe_Basis
CLINITECH LABORATORY LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,no_structured_differentiation_tag,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,Not assessed (no machine-readable text).,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|not_assessed_(no_machine-readable_text),0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,1,17,15.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,rules_only,no_website_url,,
CLN Energy Limited,"Plot-18, Sector-140, Phase-2, Nepz Post Office, Gautam Buddha Nagar, Dadri, 201305, Uttar Pradesh, India",unspecified_see_drhp,www.afsl.co.in; www.clnenergy.in,Extract from restated financials in DRHP (pattern not matched).,no_structured_differentiation_tag,DRHP: Mr. Jeevan Chand Managerial Remuneration; Mr. Sunil Gandhi Managerial Remuneration; Mr. Manish Shah; Mr. Jeevan Chand; Mr. Sunil Gandhi,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal|no_explicit_expansion|hiring|certification_keywords_in_sampled_pages_—_check_md&a|risk_factors_in_full_drhp,0,not_classified_manufacturer,1,india_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,60.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,5.0,0.0,5.0,5.0,5.0,60.0,0.0,rules_only,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
COMMAND POLYMERS LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,no_structured_differentiation_tag,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,Not assessed (no machine-readable text).,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|not_assessed_(no_machine-readable_text),0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,1,17,15.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,rules_only,no_website_url,,
Company Name,City/Location,Industry Segment,Website,Revenue Band,no_structured_differentiation_tag,Promoter/Decision-Maker,Growth Signals,,data_with_dsir_recognition.csv,,Industry Segment,no_structured_differentiation_tag|growth_signals,0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,0,weak_promoter_signal,0,no_tailwind_tags,0,weak_growth_signal,0,0,0.0,1,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rules_only,duplicate_dedupe|basis:website_host,Company Name,website_host
COMRADE APPLIANCES LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,no_structured_differentiation_tag,DRHP: Ms. Kiran Tilwani Company Secretary; Ms. Dimple Magharam Slun Email; Ms. Kiran Tilwani; Mr. Khursheed Alam; Mr. Mehboob Alam DETAILS OF THE ISSUE; Mr. Mehboob Alam,Not assessed (no machine-readable text).,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|not_assessed_(no_machine-readable_text),0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,2,33,30.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,5.0,5.0,0.0,30.0,0.0,rules_only,no_website_url,,
Concord Control Systems Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,no_structured_differentiation_tag,DRHP: Mrs. Lavisha Wadhwani Company Secretary; Mr. Nitin Jain; Mr. Gaurav Lath DETAILS OF THE ISSUE; Mr. Ajay Jain Email; Mr. Aniket Chindarkar Email; Mrs. Lavisha Wadhwani; Mr. Gaurav Lath. For; Mr. Gaurav Lath. Subsidiary Company The Subsidiary,Not assessed (no machine-readable text).,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|not_assessed_(no_machine-readable_text),0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,2,33,30.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,5.0,5.0,0.0,30.0,0.0,rules_only,no_website_url,,
CONTAINE TECHNOLOGIES LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,no_structured_differentiation_tag,DRHP: Mrs. Nikitha Sarda Company Secretary; Mr. Anand Kumar Seethala; Mrs. Botcha Bhavani DETAILS OF OFFER TO; Mr. S. Ramakrishna Iyengar Telephone; Mr. R.D. Ramasamy; Mrs. Nikitha Sarda; Mrs. Botcha Bhavani THE ISSUE INITIAL PUBLIC; Mrs. Botcha Bhavani. Promoter Group Includes,Not assessed (no machine-readable text).,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|not_assessed_(no_machine-readable_text),0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,2,33,30.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,5.0,5.0,0.0,30.0,0.0,rules_only,no_website_url,,
Cosmic CRF Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,no_structured_differentiation_tag,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,Not assessed (no machine-readable text).,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|not_assessed_(no_machine-readable_text),0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,1,17,15.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,rules_only,no_website_url,,
Cospower Engineering Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,no_structured_differentiation_tag,DRHP: Ms. Garima Garg; Ms. Garima Garg Director; Mr. Oswald Rosario Dsouza MOA; Mr. Oswald Rosario Dsouza; Mr. Felix Shridhar Kadam Promoter Group Includes; Mr. Felix Shridhar Kadam. Issue Related Terms,Not assessed (no machine-readable text).,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|not_assessed_(no_machine-readable_text),0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,2,33,30.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,5.0,5.0,0.0,30.0,0.0,rules_only,no_website_url,,
Craftech Paper Mills Limited,"Karwa Complex, Opp",unspecified_see_drhp,www.craftechpaper.com; www.horizonmanagement.in; www.maashitla.com,Extract from restated financials in DRHP (pattern not matched).,no_structured_differentiation_tag,DRHP: Mr. Narendra Bajaj SEBI Registration No; Mr. Mukul Agrawal SEB,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal|no_explicit_expansion|hiring|certification_keywords_in_sampled_pages_—_check_md&a|risk_factors_in_full_drhp,0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,3,50,50.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,5.0,5.0,5.0,50.0,0.0,rules_only,duplicate_dedupe|basis:website_host,L. T. Elevator Limited,website_host
CRYOGENIC OGS LIMITED,Download failed (timeout or HTTP error).,unknown,,unknown,no_structured_differentiation_tag,Could not download DRHP PDF/ZIP for promoter extraction.,,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline,0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,1,17,15.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,rules_only,no_website_url,,
DADA ORGANICS LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,no_structured_differentiation_tag,DRHP: Ms. Komal Hirenkumar Jain Company Secretary; Mr. Dineshbhai Bhanushankar Pandya; Mrs. Jayshree Dineshbhai Pandya DETAILS OF OFFER; Mr. S. Ramakrishna Iyengar Telephone; Ms. K. Sreepriya Telephone; Ms. Komal Hirenkumar Jain; Mrs. Jayshree Dineshbhai Pandya Promoter Group Includes; Mr. Bharatbhai Odhavjibhai Goti,Not assessed (no machine-readable text).,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|not_assessed_(no_machine-readable_text),0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,2,33,30.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,5.0,5.0,0.0,30.0,0.0,rules_only,no_website_url,,
DAPS ADVERTISING LIMITED,"128, Clyde House, Office No",unspecified_see_drhp,www.bigshareonline.com; www.dapsadvertising.com; www.shreni.in,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: AKHILESH CHATURVEDI; DHARMESH CHATURVEDI AND PARESH,ISO certification mentioned,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,0,not_classified_manufacturer,0,weak_location_signal,1,cert_or_patent_evidence,1,rich_drhp_promoter_blob,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,70.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,5.0,5.0,5.0,5.0,70.0,0.0,rules_only,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
DAVIN SONS RETAIL LIMITED,"2 years w.e.f. 1st April, 2023 2. WZ-410/2, Second Floor, Shakurpur Village, Near Britania Chowk, Delhi- 110034.",unspecified_see_drhp,www.davinsonsretail.com; www.focl.in; www.kfintech.com; www.navigantcorp.com,Extract from restated financials in DRHP (pattern not matched).,no_structured_differentiation_tag,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal|no_explicit_expansion|hiring|certification_keywords_in_sampled_pages_—_check_md&a|risk_factors_in_full_drhp,0,not_classified_manufacturer,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,3,50,45.0,3,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,5.0,0.0,0.0,5.0,5.0,45.0,0.0,rules_only,duplicate_dedupe|basis:website_host,Yashhtej Industries (India) Limited,website_host
Desco Infratech Limited,"in the same building i.e., A -703, Swastik Universal, Next to Valentine Theatre, Dumas Road, Umra, Surat -395007, Gujarat, India (Area",unspecified_see_drhp,www.bigshareonline.com; www.descoinfra.co.in; www.shcapl.com,Extract from restated financials in DRHP (pattern not matched).,no_structured_differentiation_tag,DRHP: Ms. Gandharva Javanika; Ms. Sonal Jhaveri; Ms. Sonali Jhaveri; Ms. Prinkle Jain; Mr. Pankaj Pruthu Desai; Mr. Pankaj Pruthu Desai Chairman; Mr. Parth Shah Website; Mr. Babu Rapheal C. SEBI Registration No,subsidiary / group structure,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|subsidiary|group_structure,0,not_classified_manufacturer,1,india_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,3,50,40.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,5.0,0.0,5.0,5.0,0.0,40.0,0.0,rules_only,duplicate_dedupe|basis:website_host,Nanta Tech Limited,website_host
Dev Labtech Venture Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,no_structured_differentiation_tag,DRHP: Mr. Pratik Ashokbhai Patel; Mr. Nikhil Shah Email; Mr. Shanti Gopalkrishnan Email; Mr. Jerambhai Lavjibhai Donda; Mrs. Labhuben Jerambhai Donda; Mr. Jay Jerambhai Donda For; Mr. Arunava Raha; Mr. Jerambhai Patel; Mrs. Vimlaben Bhlani; Mrs. Gauriben Bhlani Stakeholders Relationship Committee,Not assessed (no machine-readable text).,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|not_assessed_(no_machine-readable_text),0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,2,33,30.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,5.0,5.0,0.0,30.0,0.0,rules_only,no_website_url,,
Dharni Capital Services Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,no_structured_differentiation_tag,DRHP: Mr. Hemant Dharnidharka; Mrs. Preeti Saraogi DETAILS OF OFFER TO; Mr. Jinesh Doshi Email; Mr. R.D. Ramasamy Email; Mr. Mayank Mundhra; Mrs. Preeti Saraogi DETAILS OF ISSUE INITIAL; Mr. Hemant Dharnidharka Materiality Policy; Mrs. Preeti Saraogi. For; Mrs. Preeti Saraogi,Not assessed (no machine-readable text).,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|not_assessed_(no_machine-readable_text),0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,2,33,30.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,5.0,5.0,0.0,30.0,0.0,rules_only,no_website_url,,
Dhaval Packaging Limited,Download failed (timeout or HTTP error).,unknown,,unknown,no_structured_differentiation_tag,Promoter names not machine-extracted — verify in IPO prospectus or LinkedIn.,,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline,0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,0,weak_promoter_signal,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,1,17,15.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,rules_only,no_website_url,,
Dhnawel Hybrid Seeds Limited,Corporate Identification Number of our Company is U46101GJ2024PLC148851.,unspecified_see_drhp,www.cameoindia.com; www.dhanwelseeds.com; www.wealthminenetworks.com,Extract from restated financials in DRHP (pattern not matched).,no_structured_differentiation_tag,Mr. Kishankumar Gordhanbhai Meghani Chairman; Mr. Nikunj Mansukhlal Suvagiya Non; Mr. Sudhir Mohanbhai Pipaliya Non; Mr. Vimal Mansukhbhai Vekariya Whole; Ms. Dixita Rajendrasinh Chauhan Chief Financial; Ms. Keshvi Akshay Barasiya Non; Ms. Parul Agarwal; Ms. Parul Agarwal Company Secretary,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,U46101GJ2024PLC148851,See DRHP ‘Industry / Business overview’ section.,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal|no_explicit_expansion|hiring|certification_keywords_in_sampled_pages_—_check_md&a|risk_factors_in_full_drhp,0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,3,50,50.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,5.0,5.0,5.0,50.0,0.0,rules_only,duplicate_dedupe|basis:website_host,Seemax Resources Limited,website_host
Dhyaani Tile and Marblez Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,no_structured_differentiation_tag,DRHP: Ms. Foram Ajmeri; Mr. Chintan Nayan Bhai Rajyaguru Nomination; Mr. Chintan Nayan Bhai Rajyaguru Promoter Group; Mr. Chintan Nayan Bhai Rajyaguru SIZE OF,Not assessed (no machine-readable text).,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|not_assessed_(no_machine-readable_text),0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,2,33,30.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,5.0,5.0,0.0,30.0,0.0,rules_only,no_website_url,,
Digilogic Systems Limited,"company pursuant to special resolution passed by the shareholders at the EGM held on June 18, 2025, and consequently, the name of our Company was changed to “Digilogic Systems Limited” and a fresh certificate of incorporation consequent upon conversion from private company to pub...",Manufacturing / Industrial,www.bsesme.com; www.digilogicsystems.com; www.indorient.in; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,no_structured_differentiation_tag,DRHP: Mr. Kameswara Rao Vempati; Mr. Madhusudhan Varma Jetty; Mrs. Radhika Varma Jetty,facility expansion,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capacity_expansion_tailwind,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,"technology-led company engaged in the design, development, integration, manufacturing, supply and support",no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capacity_expansion_tailwind|facility_expansion,1,manufacturer_or_industrial_segment,0,weak_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,70.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,0.0,0.0,5.0,5.0,5.0,70.0,0.0,rules_only,duplicate_dedupe|basis:website_host,Yash Highvoltage Limited,website_host
Diksha Polymers Limited,Ahmedabad,unspecified_see_drhp,www.afsl.co.in; www.cameoindia.com; www.dikshagroup.in,₹5–25 Cr (approx from lakhs),rnd_mention,DRHP: Mrs. Anjana Mandelia. For,capacity expansion; backward integration,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind,data_with_dsir_recognition.csv+drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,rnd_mention|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|capacity_expansion|backward_integration,0,not_classified_manufacturer,1,india_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,60.0,5,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,5.0,0.0,5.0,5.0,5.0,60.0,0.0,rules_only,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Dindigul Farm Product Limited,Identification Number of our company is U15200TZ2010PLC016407.,unspecified_see_drhp,www.beelinemb.com; www.ennutrica.com; www.linkintime.co.in,Extract from restated financials in DRHP (pattern not matched).,no_structured_differentiation_tag,DRHP: Mr. Gurunathan Uma Kanth Narayanan PROMOTERS OF,subsidiary / group structure,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,U15200TZ2010PLC016407,See DRHP ‘Industry / Business overview’ section.,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|subsidiary|group_structure,0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,2,33,30.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,5.0,5.0,0.0,30.0,0.0,rules_only,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
DIPNA PHARMACHEM LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,no_structured_differentiation_tag,DRHP: Ms. Khushboo Jethaliya; Mr. Keyur Dipakkumar Shah Type Fresh Issue; Mr. Keyur Shah Promoter Group Companies; Ms. Khushboo Jethaliya. Chief Financial Officer; Mr. Keyur Parmar. Act; Mr. Keyur Shah. For,Not assessed (no machine-readable text).,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|not_assessed_(no_machine-readable_text),0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,2,33,30.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,5.0,5.0,0.0,30.0,0.0,rules_only,no_website_url,,
DJ Mediaprint & Logistics Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,no_structured_differentiation_tag,DRHP: Ms. Khushboo Mahesh Lalji; Mr. Dinesh Muddu Kotian; Mr. Santhosh Muddu Kotian. Promoter Group Includes; Mr. Dhanraj Dayanand Kunder,Not assessed (no machine-readable text).,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|not_assessed_(no_machine-readable_text),0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,2,33,30.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,5.0,5.0,0.0,30.0,0.0,rules_only,no_website_url,,
DMR HYDROENGINEERING & INFRASTRUCTURES LIMITED,"+91 1294360445; Email Id: investors@dmrengineering.net Website: www.dmrengineering.netContact Person: Mayank, Company Secretary and Compliance Officer",unspecified_see_drhp,www.dmrengineering.net; www.dmrengineering.netContact; www.shreni.in; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Mr. Krunal Pipalia SEBI Registration Number; Subhash Chander Mittal; Neelam Mittal,ISO certification mentioned,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,0,not_classified_manufacturer,0,weak_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,70.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,5.0,5.0,5.0,5.0,70.0,0.0,rules_only,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Dove Soft Limited,"³ZH´³XV´DQG³RXU´ Unless the context otherwise indicates or implies, refers to our Company.","9. We are involved in certain legal proceedings, which, if determined adversely, may affect",www.dovesoft.io; www.growhousewealth.com; www.purvashare.com; www.unistonecapital.com,Extract from restated financials in DRHP (pattern not matched).,no_structured_differentiation_tag,Promoter names not machine-extracted — verify in IPO prospectus or LinkedIn.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,"9. We are involved in certain legal proceedings, which, if determined adversely, may affect",no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal|no_explicit_expansion|hiring|certification_keywords_in_sampled_pages_—_check_md&a|risk_factors_in_full_drhp,0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,0,weak_promoter_signal,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,2,33,35.0,4,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,0.0,5.0,5.0,35.0,0.0,rules_only,duplicate_dedupe|basis:website_host,STANBIK AGRO LIMITED,website_host
