Company Name,City,Industry Segment,Website,Revenue Band,Differentiation Evidence,Promoter/Decision-Maker,Growth Signals,Tailwinds,Source,CIN,Industry Segment (raw),Evidence Tags Normalized,C1_Manufacturer,C1_Notes,C2_India_Based,C2_Notes,C3_Differentiation,C3_Notes,C4_Technical_DM,C4_Notes,C5_Tailwinds,C5_Notes,C6_Growth_Signals,C6_Notes,ICP_Criteria_Met_Count,ICP_Coverage_Score,ICP_Weighted_Score,_dedupe_group_size
Helloji Holidays Limited,"passed by the shareholders on May 06, 2025 from Union Territory of Chandigarh to National Capital Territory of Delhi",unspecified_see_drhp,www.helloji.com; www.khambattasecurities.com; www.maashitla.com,₹2 Cr (stated),dsir_drhp_substantive_citation,DRHP: Ms. Shikha Daruka; Ms. Shikha Daruka Company Secretary; Mr. Chandan Mishra Email; Mr. Mukul Agrawal Email; Mr. Chandan Mishra SEBI Registration No; Mr. Mukul Agrawal SEBI Registration No,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,U63040DL2012PLC452865,See DRHP ‘Industry / Business overview’ section.,dsir_drhp_substantive_citation|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal|no_explicit_expansion|hiring|certification_keywords_in_sampled_pages_—_check_md&a|risk_factors_in_full_drhp,0,not_classified_manufacturer,1,india_location_signal,1,dsir_substantive_drhp_citation,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
Jiya Eco India Limited,"Bhavnagar – 364313, Gujarat",unspecified_see_drhp,www.bigshareonline.com; www.hemsecurities.com; www.jiyaecoindia.com,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Ms. Akanksha Akhilesh Srivastava; Mr. Bhavesh Jivrajbhai Kakadiya; Mr. Yogeshkumar Chimanlal Patel THE ISSUE INITIAL; Mr. Yogeshkumar Chimanlal Patel. For; Mrs. Hetalben Bhaveshbhai Kakadiya; Mr. Vipulbhai S. Vora. Mrs. Rita Vora; Mr. Jivrajbhai Gopalbhai Kakadiya. Issue Relat; Mr. Jivrajbhai Gopalbhai Kakadiya. Issue Related Terms,ISO certification mentioned; subsidiary / group structure,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned|subsidiary|group_structure,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
Kaneri Agro Industries Limited,"Lodariyal, Bavla Sanand Road, Ahmedabad-382220",unspecified_see_drhp,www.beelinebroking.com; www.kaneriagro.in; www.linkintime.co.in,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Ms. Asha Rameshwarlal Jain; Mr. Ritesh Kaushikbhai Patel; Mr. Nilesh Kaushikbhai Patel; Mrs. Palak Ritesh Patel Promoters Group Companies; Mr. Nileshkumar Kaushikbhai Patel; Mrs. Palak Ritesh Patel. For; Mrs. Palak Ritesh Patel; Mrs. Nidhi Nileshkumar Patel; Mrs. Indiraben Kaushikbhai Patel; Mr. Kaushikkumar Bhogilal Patel,ISO certification mentioned,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
Locksworth Infrastructure Limited,"Trade Centre, Plot No - P- 1 Netaji Subhash Place, Shakur Pur I Block, North West Delhi, India, 110034",unspecified_see_drhp,www.bigshareonline.com; www.gyrcapitaladvisors.com; www.locksworth.in,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,Mr. Vipin Kumar Chaurasia,ISO certification mentioned; subsidiary / group structure,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned|subsidiary|group_structure,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
M.R.MANIVENI FOODS LIMITED,"Chennai, Andaman and Nicobar Islands, bearing Corporate Identity Number (",unspecified_see_drhp,https://www.mrgolddhall.com/; www.bigshareonline.com; www.capitalsquare.in,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: K R MANIKANDAN; M CHANDRA AND K SELVAM,capacity expansion; ISO certification mentioned,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|capacity_expansion|iso_certification_mentioned,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,rich_drhp_promoter_blob,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
Mahamaya Lifesciences Limited,"TELEPHONE WEBSITE Unit No: DPT – 033, Ground Floor, Plot No: 79 – 80, DLF Prime Tower, F – Block, Okhla, Phase – 1 New Delhi – 110020, India",unspecified_see_drhp,https://www.mahamayalifesciences.com/; www.kfintech.com; www.oneviewadvisors.com,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,Mr. Krishnamurthy Ganesan,ISO certification mentioned,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
Malpani Pipes & Fittings Limited,"Area, Ratlam, Madhya Pradesh-457001, India",unspecified_see_drhp,www.bigshareonline.com; www.ifinservices.in; www.malpanipipes.com,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Rohit Malpani; Harsh Malpani; Mohit Malpani,ISO certification mentioned,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,rich_drhp_promoter_blob,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
Manisha Textiles Limited,"Survey No 6, House No 8 P, Gova MIDC, Vill Sarav ali, Bhiwandi -421302 Maharashtra, India",unspecified_see_drhp,www.kfintech.com; www.manishatextiles.in; www.rarever.in,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Ms. Kapila Shardul Tikke Company Secretary; Ms. Kapila Shardul Tikke,ISO certification mentioned; subsidiary / group structure,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned|subsidiary|group_structure,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
Marc Loire Fashions Limited,"Plot No. 426/1, First Floor, Rani Khera Road, Village Mundaka, West Delhi, Delhi, India, 110041. Vasant Kuber Soni Company Secretary & Compliance Officer Email ID: csvasant@marcloire.in Tel No: +91 62009 62002 https://marcloire.com/ NAMES OF PROMOTERS OF THE COMPANY Mr. Arvind Ka...",unspecified_see_drhp,https://marcloire.com/; www.finshoregroup.com; www.maashitla.com,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,Mr. Arvind Kamboj,ISO certification mentioned,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
PNGS GARGI FASHION JEWELLERY LIMITED,"S. No. 37/1 & 37/2, Near Lokmat New Paper, Wadgaon, Khurd, Pune – 411 041, Maharashtra, India N.A. Ms. Bhargavi Pratish Aphale Company Secretary and Compliance Officer info@gargibypng.com",unspecified_see_drhp,www.bigshareonline.com; www.gargibypng.com; www.shreni.in,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Ms. Bhargavi Pratish Aphale Company Secretary; Mr. Parth Shah; Ms. Kritika Rupda E-mail; Mr. Aniket Chindarkar E-mail; Ms. Bhargavi Pratish Aphale; Ms. Bhargavi Pratish Aphale Corporate Identification Number; Mr. Prasad Prabhakar Ghodke MOA; Mr. Govind Vishwanath Gadgil; Ms. Renu Govind Gadgil,ISO certification mentioned,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
Qualitek Labs Limited,"73, National Park Lajpat Nagar- IV, New Delhi, South Delhi, 110024 India Ashima Bhatnagar Email:company",unspecified_see_drhp,www.oneviewadvisors.com; www.qualiteklab.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Mr. Kamal Grover Remuneration; Mr. Antaryami Nayak Remuneration; Mr. Alok Kumar Agarwal Investment,ISO certification mentioned,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
RAVIRAJ PROCESS CONTROLS LIMITED,"Plot No. A/677, TTC, MIDC, Khairne Navi Mumbai, Thane 400 709, Navi Mumbai, Maharashtra, India. Mr. Ravi Bansilal Darira Managing Director Email Id: info@raviraj.net Tel no: 022-45419000",unspecified_see_drhp,www.ekadrisht.com; www.raviraj.net,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Mr. Ravi Bansilal Darira Managing Director Email; Mr. Ravi Bansilal Darira. Email Id; Mr. Ravi Bansilal Darira; Mr. Balasubrahmanya Narayana Rao,ISO certification mentioned; subsidiary / group structure,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned|subsidiary|group_structure,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
Shine Fashions (India) Limited,"Mulund West Mumbai -400080, Maharashtra “you”, “your” or “yours” Prospective investors in this Issue",unspecified_see_drhp,www.amfabrics.in; www.cameoindia.com; www.shreni.in,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Mr. Anil Mehta; Ms Nidhi Jain; Ms. Nidhi Jain Director; Mr. Anish Anil Mehta Materiality Policy; Mr. Anish Anil Mehta; Mr. Anil Zaverchand Mehta; Mr. Anish Anil Mehta Mrs. Binal Anish; Ms. Purvi Anil Sanghvi; Mr. Ankit Hareshkumar Doshi; Mr. Sagar Hareshkumar Doshi,ISO certification mentioned; subsidiary / group structure,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned|subsidiary|group_structure,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
Shlokka Dyes Limited,"Saykha, Saran, Bharuch, Vagra, Gujarat, India-392140",unspecified_see_drhp,www.bigshareonline.com; www.ifinservices.in; www.shlokkadyes.com,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Mr. Siddharth Gajra Company Secretary; Mr. Siddharth Gajra; Mr. Siddharth Gajra Chief Financial Officer; Mr. Rajesh Patel. Act; Vaibhav Shah & Shivani Rajpurohit,ISO certification mentioned,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,3
SK International Export Limited,"78, Ground floor, A -2 Shah & Nahar Industrial Estate, Sitaram Jadhav Marg, Lower Parel, Mumbai-400013, Maharashtra, India “We”, “the”, “our” or “us” Unless the context otherwise indicates or implies, refers to our Company",unspecified_see_drhp,https://karisma.karvy.com; www.finshoregroup.com; www.skinternational.in,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Mr. Hitesh Shrawankumar Sadh; Mr. Shrawankumar Sadh; Mr. Hitesh Shrawankumar Sadh For,capex / capital expenditure; ISO certification mentioned; subsidiary / group structure,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|capex|capital_expenditure|iso_certification_mentioned|subsidiary|group_structure,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
Solvex Edibles Limited,"India, 244921",unspecified_see_drhp,www.corporatemakers.in; www.maashitla.com; www.solvexedibles.in,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Ms. Swati Vaish; Ms. Swati Vaish. Corporate Identification Number; Mr. Ashish Goel. MOA; Mr. Ashish Goel; Mr. Vishal Goel; Mrs. Rashika Gupta; Mr. Brij Bhushan Goel. Promoter Group Such,ISO certification mentioned,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
VVIP Infratech Limited,"Fifth Floor, VVIP Style, Nh-58 Raj Nagar Extension, Ghaziabad, Uttar Pradesh- 201017, India Kanchan Aggarwal, Company Secretary cum Compliance Officer E-mail: cs@vvipinfra.com Tel No: +91 9990060123",unspecified_see_drhp,www.maashitla.com; www.shareindia.com; www.vvipinfra.com,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Mr. Praveen Tyagi; Mr. Vaibhav Tyagi; Mr. Vibhor Tyagi DETAILS OF THE ISSUE,ISO certification mentioned,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
