Company Name,City,Industry Segment,Website,Revenue Band,CIN,ICP_Blended_Weighted_Score,ICP_Weighted_Score,Reject_Phase,Reject_Reason_Codes,Dedupe_Winner_Company,Dedupe_Basis
Avyukta Dairy Products Limited,"the conversion of our Company to public limited Company, the name of our Company has been changed to “Avyukta Dairy Products Limited” vide fresh Certificate of Incorporation dated July 09, 2021 issued by the Registrar of Companies, Delhi. For further details of Incorporation, cha...",unspecified_see_drhp,www.avyuktadairy.com; www.masserv.com; www.navigantcorp.com,Extract from restated financials in DRHP (pattern not matched).,,40.0,40.0,step8,duplicate_dedupe|basis:website_host,Yashhtej Industries (India) Limited,website_host
Axiom consulting limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
B-RIGHT REALESTATE LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
BBG Industries Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
BENCHMARK COMPUTER SOLUTIONS LIMITED,"Stakeholders Relationship Committee The Stakeholders Relationship Committee of our Board of Directors constituted in accordance with Section 178 of the Companies Act, 2013. For details , please refer chapter titled “Our Management” beginning on Page No. 131 of this Draft Prospect...",unspecified_see_drhp,www.beelinemb.com; www.benchmarksolution.com; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,,70.0,70.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
Bhatia Colour Chem Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Bhavik Enterprises Limited,Corporate Office Contact Person Email and Telephone Website Office No,unspecified_see_drhp,https://bhavikenterprises.com/; www.bigshareonline.com; www.shcapl.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Nanta Tech Limited,website_host
Billwin Industries Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
BioLife Therapeutics Global Ltd,Hyderabad,Manufacturing / Industrial,biolifethera.com,₹100–180 Cr,,65.0,65.0,step8,duplicate_dedupe|basis:website_host,BioLife Therapeutics Ltd,website_host
Bizotic Commercial Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Bondada Engineering Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Bonlon Industries Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Brandbucket Media & Technology Limited,"Link Road, Anna Nagar, Andheri West, Mumbai-400053, Maharashtra, India",unspecified_see_drhp,www.brandbucketmediatech.com; www.inventuremerchantbanker.com; www.satellitecorporate.com,Extract from restated financials in DRHP (pattern not matched).,,65.0,65.0,step8,duplicate_dedupe|basis:website_host,CREATEROI FINANCIAL CONSULTANCY LIMITED,website_host
Bright Outdoor Media Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Brisk Technovision Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Broach Lifecare Hospital Limited,See DRHP ‘General Information’ — address not matched by pattern.,unspecified_see_drhp,www.fedsec.in; www.kfintech.com; www.maplehospital.in,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Cargosol Logistics Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
CFF FLUID CONTROL LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
CFF Fluid Control Ltd,Identification Number of our Company is U28990MH2012PLC227023,unspecified_see_drhp,www.afsl.co.in; www.cameoindia.com; www.cffdefensys.com,Extract from restated financials in DRHP (pattern not matched).,U28990MH2012PLC227023,35.0,35.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Chamelidevi Flour Mills Limited,"Any interest, penalty, or late fees, if levied, shall not be met from the IPO proceeds, including General Corporate Purposes, and",unspecified_see_drhp,https://in.mpms.mufg.com; https://www.cdfm.in; www.beelinemb.com,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
Chandra Bhagat Pharma Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Chatha Foods Limited,Download failed (timeout or HTTP error).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Chatterbox Technologies Limited,"and other provisions of Companies Act, 2013",unspecified_see_drhp,www.bigshareonline.in; www.chtrbox.com; www.expertglobal.in,Extract from restated financials in DRHP (pattern not matched).,,30.0,30.0,step8,duplicate_dedupe|basis:website_host,Royal Sense Limited,website_host
ChemAxis Industries Ltd,Gujarat,Manufacturing / Industrial,chemaxis.com,₹70–120 Cr,,65.0,65.0,step8,duplicate_dedupe|basis:website_host,ChemAxis Ltd,website_host
Chemkart India Limited,PDF parse error: PdfStreamError,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Chiraharit Limited,number (CIN) being U45101AP2006PTC050818,unspecified_see_drhp,https://chiraharit.com/#; www.bigshareonline.com; www.finshoregroup.com,Extract from restated financials in DRHP (pattern not matched).,U45101AP2006PTC050818,70.0,70.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
Cian Healthcare Limited,"of our Company, please refer to the chapter titled “General Information” and “Our History and Certain Other Corporate Matters” beginning on page 52 and 157 respectively of this Draft Red Herring Prospectus",unspecified_see_drhp,www.bigshareonline.com; www.cian.co; www.fedsec.in,Extract from restated financials in DRHP (pattern not matched).,,55.0,55.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Citichem India Limited,Little or no extractable text (likely scanned PDF — needs OCR).,"3. Majority of our revenues are dependent on few customers and the loss of, or a significant reduction in purchases by s",www.citichemindia.com; www.horizonmanagement.in; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,L. T. Elevator Limited,website_host
City Crops Agro Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
City Pulse Multiplex Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
CLARA INDUSTRIES LIMITED,‘Our History and Certain Other Corporate Matters’ beginning on page 100 of this Draft Prospectus.,unspecified_see_drhp,www.bigshareonline.com; www.clara.co.in; www.gretexcorporate.com,Extract from restated financials in DRHP (pattern not matched).,,70.0,70.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
CLINITECH LABORATORY LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
CLN Energy Limited,"Plot-18, Sector-140, Phase-2, Nepz Post Office, Gautam Buddha Nagar, Dadri, 201305, Uttar Pradesh, India",unspecified_see_drhp,www.afsl.co.in; www.clnenergy.in,Extract from restated financials in DRHP (pattern not matched).,,60.0,60.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
COMMAND POLYMERS LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Company Name,City/Location,Industry Segment,Website,Revenue Band,,0.0,0.0,step8,duplicate_dedupe|basis:website_host,Company Name,website_host
COMRADE APPLIANCES LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Concord Control Systems Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
CONTAINE TECHNOLOGIES LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Cosmic CRF Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Cospower Engineering Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Craftech Paper Mills Limited,"Karwa Complex, Opp",unspecified_see_drhp,www.craftechpaper.com; www.horizonmanagement.in; www.maashitla.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,L. T. Elevator Limited,website_host
CRYOGENIC OGS LIMITED,Download failed (timeout or HTTP error).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
DADA ORGANICS LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
DAPS ADVERTISING LIMITED,"128, Clyde House, Office No",unspecified_see_drhp,www.bigshareonline.com; www.dapsadvertising.com; www.shreni.in,Extract from restated financials in DRHP (pattern not matched).,,70.0,70.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
DAVIN SONS RETAIL LIMITED,"2 years w.e.f. 1st April, 2023 2. WZ-410/2, Second Floor, Shakurpur Village, Near Britania Chowk, Delhi- 110034.",unspecified_see_drhp,www.davinsonsretail.com; www.focl.in; www.kfintech.com; www.navigantcorp.com,Extract from restated financials in DRHP (pattern not matched).,,45.0,45.0,step8,duplicate_dedupe|basis:website_host,Yashhtej Industries (India) Limited,website_host
Desco Infratech Limited,"in the same building i.e., A -703, Swastik Universal, Next to Valentine Theatre, Dumas Road, Umra, Surat -395007, Gujarat, India (Area",unspecified_see_drhp,www.bigshareonline.com; www.descoinfra.co.in; www.shcapl.com,Extract from restated financials in DRHP (pattern not matched).,,40.0,40.0,step8,duplicate_dedupe|basis:website_host,Nanta Tech Limited,website_host
Dev Labtech Venture Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Dharni Capital Services Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Dhaval Packaging Limited,Download failed (timeout or HTTP error).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Dhnawel Hybrid Seeds Limited,Corporate Identification Number of our Company is U46101GJ2024PLC148851.,unspecified_see_drhp,www.cameoindia.com; www.dhanwelseeds.com; www.wealthminenetworks.com,Extract from restated financials in DRHP (pattern not matched).,U46101GJ2024PLC148851,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Seemax Resources Limited,website_host
Dhyaani Tile and Marblez Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Digilogic Systems Limited,"company pursuant to special resolution passed by the shareholders at the EGM held on June 18, 2025, and consequently, the name of our Company was changed to “Digilogic Systems Limited” and a fresh certificate of incorporation consequent upon conversion from private company to pub...",Manufacturing / Industrial,www.bsesme.com; www.digilogicsystems.com; www.indorient.in; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,,70.0,70.0,step8,duplicate_dedupe|basis:website_host,Yash Highvoltage Limited,website_host
Diksha Polymers Limited,Ahmedabad,unspecified_see_drhp,www.afsl.co.in; www.cameoindia.com; www.dikshagroup.in,₹5–25 Cr (approx from lakhs),,60.0,60.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Dindigul Farm Product Limited,Identification Number of our company is U15200TZ2010PLC016407.,unspecified_see_drhp,www.beelinemb.com; www.ennutrica.com; www.linkintime.co.in,Extract from restated financials in DRHP (pattern not matched).,U15200TZ2010PLC016407,30.0,30.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
DIPNA PHARMACHEM LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
DJ Mediaprint & Logistics Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
DMR HYDROENGINEERING & INFRASTRUCTURES LIMITED,"+91 1294360445; Email Id: investors@dmrengineering.net Website: www.dmrengineering.netContact Person: Mayank, Company Secretary and Compliance Officer",unspecified_see_drhp,www.dmrengineering.net; www.dmrengineering.netContact; www.shreni.in; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,,70.0,70.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Dove Soft Limited,"³ZH´³XV´DQG³RXU´ Unless the context otherwise indicates or implies, refers to our Company.","9. We are involved in certain legal proceedings, which, if determined adversely, may affect",www.dovesoft.io; www.growhousewealth.com; www.purvashare.com; www.unistonecapital.com,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,STANBIK AGRO LIMITED,website_host
Dudani Retail Limited,and Corporate Structure” beginning on page no 130 of the Draft Prospectus.,unspecified_see_drhp,www.divenaworld.com; www.finshoregroup.com; www.maashitla.com,Extract from restated financials in DRHP (pattern not matched).,,70.0,70.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
Earthstahl & Alloys Limited,Download failed (timeout or HTTP error).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Earum Pharmaceuticals Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Eastern Logica Infoway Ltd,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
EBOR INDUSTRIES LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Eighty Jewellers Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Ekennis Software Service Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Elfin Agro India Limited,"in name and registered office of our company, please refer to section titled “",unspecified_see_drhp,www.cameoindia.com; www.elfinagroindia.com; www.finshoregroup.com,Extract from restated financials in DRHP (pattern not matched).,,70.0,70.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
Emiac Technologies Limited,please refer to the chapter titled “History and Certain Corporate Matters” beginning on page 162 of the Draft Red Herring Prospectus.,unspecified_see_drhp,https://emiactech.com/; www.bigshareonline.com; www.shcapl.com,Extract from restated financials in DRHP (pattern not matched).,,55.0,55.0,step8,duplicate_dedupe|basis:website_host,Nanta Tech Limited,website_host
Emmforce Autotech Limited,"2. Plot No.3&5 EPIP Phase- I, Jharmajri, Baddi Distt",unspecified_see_drhp,www.beelinemb.com; www.emmforce.com; www.linkintime.co.in,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
EP Biocomposites Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
EPW India Ltd,Delhi NCR,Manufacturing / Industrial,epwindia.com,₹30–60 Cr,,65.0,65.0,step8,duplicate_dedupe|basis:website_host,EPW India Ltd,website_host
EPW India Ltd,Delhi NCR,Manufacturing / Industrial,epwindia.com,₹30–60 Cr,,65.0,65.0,step8,duplicate_dedupe|basis:website_host,EPW India Ltd,website_host
EPW India Ltd,Delhi NCR,Manufacturing / Industrial,epwindia.com,₹30–60 Cr,,65.0,65.0,step8,duplicate_dedupe|basis:website_host,EPW India Ltd,website_host
Essex Marine Limited,TELEPHONE CORPORATE OFFICE TELEPHONE CONTACT PERSON,unspecified_see_drhp,www.essexmpl.com; www.kslindia.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,SJP ULTRASONICS LIMITED,website_host
Euphoria Infotech (India) Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
EUREKA CONVEYOR BELTINGS LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Evans Electric Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
EverestIMS Technologies Limited,"“U72900KA2017PLC102256”. For details of Incorporation, change of name and registered office of our company, please refer to c hapter titled “",unspecified_see_drhp,https://everestims.com/; www.maashitla.com; www.oneviewadvisors.com,₹25–100 Cr (approx from lakhs),U72900KA2017PLC102256,30.0,30.0,step8,duplicate_dedupe|basis:website_host,Qualitek Labs Limited,website_host
EverestIMS Technologies Limited,"No.759, Sree Gururaya Mansion, South Wing 8th Main, J.P.Nagar, III Phase, Bangalore, Karnataka, India, 560078 Ms. Vijayalaxmi Sangayya Salimath Company Secretary and Compliance Officer Email: cs@everestims.com Tel No: 080 - 46567100",unspecified_see_drhp,https://everestims.com/,Extract from restated financials in DRHP (pattern not matched).,,40.0,40.0,step8,duplicate_dedupe|basis:website_host,Qualitek Labs Limited,website_host
EVOQ REMEDIES LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Exhicon Events Media Solutions Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
FAALCON CONCEPTS LIMITED,"We operate from our registered office situated N-75, Ground Floor, Mayfield Garden, Sector -51, Gurugram, Haryana",unspecified_see_drhp,www.beetalfinancial.com; www.faalcon.in; www.navigantcorp.com,Extract from restated financials in DRHP (pattern not matched).,,45.0,45.0,step8,duplicate_dedupe|basis:website_host,Yashhtej Industries (India) Limited,website_host
Fabino Life Sciences Limited,Download failed (timeout or HTTP error).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
