Simran Agrovet Ltd,Punjab,Specialty Manufacturing (Agro/Animal Feed),simranagrovet.com,₹50–90 Cr,Promoter: DRHP,IPO filed Sep 2025
Fascinate Textiles Ltd,Surat,Specialty Manufacturing (Engineered Textiles),fascinatetextiles.com,₹40–80 Cr,Promoter: DRHP,IPO filed Sep 2025
Govindah Nutrition Ltd,Bengaluru,Specialty Manufacturing (Nutrition/FMCG),govindahnutrition.com,₹30–60 Cr,Promoter: DRHP,IPO filed Sep 2025
Ic Electricals Company Ltd,Delhi NCR,Specialty Manufacturing (Electrical Equipment),icelectricals.com,₹50–100 Cr,Promoter: DRHP,IPO filed Sep 2025
Kheria Autocomp Ltd,Gurugram,Specialty Manufacturing (Auto Components),kheriaautocomp.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
Ashutosh Fibre Ltd,Surat,Specialty Manufacturing (Textiles/Fibre),ashutoshfibre.com,₹50–90 Cr,Promoter: DRHP,IPO filed Sep 2025
Vinod Texworld Ltd,Ludhiana,Specialty Manufacturing (Textiles/Apparel),vinodtexworld.com,₹40–70 Cr,Promoter: DRHP,IPO filed Sep 2025
Arete 22 Ltd,Mumbai,Specialty Manufacturing (Consulting/Business Services),arete22.com,₹30–60 Cr,Promoter: DRHP,IPO filed Sep 2025
Utkal Speciality Industries India Ltd,Odisha,Specialty Manufacturing (Chemicals),utkalspeciality.com,₹50–90 Cr,Promoter: DRHP,IPO filed Sep 2025
DNV Food Products Ltd,Gujarat,Specialty Manufacturing (Food Processing),dnvfoods.com,₹40–70 Cr,Promoter: DRHP,IPO filed Sep 2025
Arbuda Agrochemicals Ltd,Ahmedabad,Specialty Manufacturing (Agrochemicals),arbudaagro.com,₹60–100 Cr,Promoter: DRHP,IPO filed Sep 2025
KRM Ayurveda Ltd,Kerala,Specialty Manufacturing (Healthcare/Ayurveda),krmayurveda.com,₹30–60 Cr,Promoter: DRHP,IPO filed Sep 2025
Anawil Wire & Engineering Ltd,Pune,Specialty Manufacturing (Wire Products),anawilwire.com,₹50–90 Cr,Promoter: DRHP,IPO filed Sep 2025
Srinibas Pradhan Constructions Ltd,Odisha,Specialty Manufacturing (Construction/Infra),spconstructions.com,₹100–200 Cr,Promoter: DRHP,IPO filed Feb 2026
Brandman Retail Ltd,Delhi NCR,Specialty Manufacturing (Retail/FMCG),brandmanretail.com,₹40–80 Cr,Promoter: DRHP,IPO filed Jan 2026
Coreintegra Consulting Services Ltd,Mumbai,Specialty Manufacturing (Consulting/Business Services),coreintegra.com,₹30–60 Cr,Promoter: DRHP,IPO filed Sep 2025
SSG Furnishing Solutions Ltd,Mumbai,Specialty Manufacturing (Furniture),ssgfurnishings.com,₹40–80 Cr,Promoter: DRHP,IPO filed Sep 2025
Marushika Technology Ltd,Bengaluru,Specialty Manufacturing (IT/Tech Services),marushikatech.com,₹60–100 Cr,Promoter: DRHP,IPO filed Jan 2026
EPW India Ltd,Delhi NCR,Specialty Manufacturing (Publishing/Media),epwindia.com,₹30–60 Cr,Promoter: DRHP,IPO filed Sep 2025
Streebo Solutions Ltd,Ahmedabad,Specialty Manufacturing (IT/Software Development),streebo.com,₹50–90 Cr,Promoter: DRHP,IPO filed Sep 2025
Jagdamba Polymers Ltd,Jaipur,Specialty Manufacturing (Plastics),jagdambapolymers.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
Mobilise App Lab Ltd,Pune,Specialty Manufacturing (Mobile Applications),mobiliseapplab.com,₹40–70 Cr,Promoter: DRHP,IPO filed Feb 2026
Shyam Dhani Industries Ltd,Delhi NCR,Specialty Manufacturing (Industrial Products),shyamdhani.com,₹60–100 Cr,Promoter: DRHP,IPO filed Dec 2025
Yaap Digital Ltd,Mumbai,Specialty Manufacturing (Digital Marketing/IT Services),yaapdigital.com,₹50–90 Cr,Promoter: DRHP,IPO filed Feb 2026
Sri Priyanka Geo Commex Ltd,Hyderabad,Specialty Manufacturing (Trading/Commodities),sripriyankageo.com,₹30–60 Cr,Promoter: DRHP,IPO filed Aug 2025
Diksha Polymers Ltd,Ahmedabad,Specialty Manufacturing (Plastics),dikshapolymers.com,₹40–80 Cr,Promoter: DRHP,IPO filed Aug 2025
Ecoline Exim Ltd,Mumbai,Specialty Manufacturing (Export/Trading),ecolineexim.com,₹50–90 Cr,Promoter: DRHP,IPO filed Sep 2025
Bio Medica Laboratories Ltd,Pune,Specialty Manufacturing (Healthcare/Diagnostics),biomediacalabs.com,₹30–60 Cr,Promoter: DRHP,IPO filed Aug 2025
Flywings Simulator Training Centre Ltd,Bengaluru,Specialty Manufacturing (Aviation/Training),flywingssim.com,₹70–120 Cr,Prom
Company Name,City/Location,Industry Segment,Website,Revenue Band,Promoter/Decision-Maker,Growth Signals
Sunkind India Ltd,Pune,Specialty Manufacturing (Food Products),sunkindindia.com,₹40–70 Cr,Promoter: DRHP,IPO filed Sep 2025
E To E Transportation Infrastructure Ltd,Delhi NCR,Specialty Manufacturing (Infrastructure/Transportation),etoeinfra.com,₹100–200 Cr,Promoter: DRHP,IPO filed Dec 2025
Amba Auto Sales & Services Ltd,Pune,Specialty Manufacturing (Auto/Services),ambaauto.com,₹30–60 Cr,Promoter: DRHP,IPO filed Sep 2025
Utkal Speciality Industries India Ltd,Odisha,Specialty Manufacturing (Chemicals),utkalspeciality.com,₹50–90 Cr,Promoter: DRHP,IPO filed Sep 2025
DNV Food Products Ltd,Gujarat,Specialty Manufacturing (Food Processing),dnvfoods.com,₹40–70 Cr,Promoter: DRHP,IPO filed Sep 2025
Arbuda Agrochemicals Ltd,Ahmedabad,Specialty Manufacturing (Agrochemicals),arbudaagro.com,₹60–100 Cr,Promoter: DRHP,IPO filed Sep 2025
KRM Ayurveda Ltd,Kerala,Specialty Manufacturing (Healthcare/Ayurveda),krmayurveda.com,₹30–60 Cr,Promoter: DRHP,IPO filed Sep 2025
Acetech E-Commerce Ltd,Mumbai,Specialty Manufacturing (IT/E-Commerce Tech),acetechecommerce.com,₹70–120 Cr,Promoter: DRHP,IPO filed Feb 2026
Anawil Wire & Engineering Ltd,Pune,Specialty Manufacturing (Wire Products),anawilwire.com,₹50–90 Cr,Promoter: DRHP,IPO filed Sep 2025
Srinibas Pradhan Constructions Ltd,Odisha,Specialty Manufacturing (Construction/Infra),spconstructions.com,₹100–200 Cr,Promoter: DRHP,IPO filed Feb 2026
Brandman Retail Ltd,Delhi NCR,Specialty Manufacturing (Retail/FMCG),brandmanretail.com,₹40–80 Cr,Promoter: DRHP,IPO filed Jan 2026
Coreintegra Consulting Services Ltd,Mumbai,Specialty Manufacturing (Consulting/Business Services),coreintegra.com,₹30–60 Cr,Promoter: DRHP,IPO filed Sep 2025
SSG Furnishing Solutions Ltd,Mumbai,Specialty Manufacturing (Furniture),ssgfurnishings.com,₹40–80 Cr,Promoter: DRHP,IPO filed Sep 2025
Marushika Technology Ltd,Bengaluru,Specialty Manufacturing (IT/Tech Services),marushikatech.com,₹60–100 Cr,Promoter: DRHP,IPO filed Jan 2026
EPW India Ltd,Delhi NCR,Specialty Manufacturing (Publishing/Media),epwindia.com,₹30–60 Cr,Promoter: DRHP,IPO filed Sep 2025
Streebo Solutions Ltd,Ahmedabad,Specialty Manufacturing (IT/Software Development),streebo.com,₹50–90 Cr,Promoter: DRHP,IPO filed Sep 2025
Jagdamba Polymers Ltd,Jaipur,Specialty Manufacturing (Plastics),jagdambapolymers.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
Clay Craft India Ltd,Jaipur,Specialty Manufacturing (Ceramics),claycraftindia.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
Mobilise App Lab Ltd,Pune,Specialty Manufacturing (Mobile Applications),mobiliseapplab.com,₹40–70 Cr,Promoter: DRHP,IPO filed Feb 2026
Shyam Dhani Industries Ltd,Delhi NCR,Specialty Manufacturing (Industrial Products),shyamdhani.com,₹60–100 Cr,Promoter: DRHP,IPO filed Dec 2025
Yaap Digital Ltd,Mumbai,Specialty Manufacturing (Digital Marketing/IT Services),yaapdigital.com,₹50–90 Cr,Promoter: DRHP,IPO filed Feb 2026
Sri Priyanka Geo Commex Ltd,Hyderabad,Specialty Manufacturing (Trading/Commodities),sripriyankageo.com,₹30–60 Cr,Promoter: DRHP,IPO filed Aug 2025
Diksha Polymers Ltd,Ahmedabad,Specialty Manufacturing (Plastics),dikshapolymers.com,₹40–80 Cr,Promoter: DRHP,IPO filed Aug 2025
Ecoline Exim Ltd,Mumbai,Specialty Manufacturing (Export/Trading),ecolineexim.com,₹50–90 Cr,Promoter: DRHP,IPO filed Sep 2025
Bio Medica Laboratories Ltd,Pune,Specialty Manufacturing (Healthcare/Diagnostics),biomediacalabs.com,₹30–60 Cr,Promoter: DRHP,IPO filed Aug 2025
Flywings Simulator Training Centre Ltd,Bengaluru,Specialty Manufacturing (Aviation/Training),flywingssim.com,₹70–120 Cr,Promoter: DRHP,IPO filed Nov 2025
Neochem Bio Solutions Ltd,Hyderabad,Specialty Manufacturing (Chemicals/Biotech),neochembio.com,₹80–150 Cr,Promoter: DRHP,IPO filed Nov 2025
Value 360 Communications Ltd,Delhi NCR,Specialty Manufacturing (Media/PR Services),value360communications.com,₹100–200 Cr,Promoter: DRHP,IPO filed Apr 2026
Inspros Engineers Ltd,Pune,Specialty Manufacturing (Engineering/Industrial Services),insprosengineers.com,₹40–70 Cr,Promoter: DRHP,IPO filed Jul 2025
Finbud Financial Services Ltd,Mumbai,Specialty Manufacturing (Financial Services),finbudfinance.com,₹50–90 Cr,Promoter: DRHP,IPO filed Oct 2025
Encompass Design India Ltd,Gurugram,Specialty Manufacturing (Design/Consulting),encompassdesign.in,₹30–60 Cr,Promoter: DRHP,IPO filed Nov 2025
Avience Biomedicals Ltd,Chennai,Specialty Manufacturing (Healthcare/Biotech),aviencebiomed.com,₹60–100 Cr,Promoter: DRHP,IPO filed Jul 2025
Aarav Defence Systems Ltd,Pune,Specialty Manufacturing (Defence/Aerospace),aaravdefence.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
Medinova Instruments Ltd,Hyderabad,Specialty Manufacturing (MedTech/Diagnostics),medinovainstruments.com,₹80–150 Cr,Promoter: DRHP,IPO filed Jan 2026
Chemcrest Polymers Ltd,Gujarat,Specialty Manufacturing (Advanced Polymers),chemcrestpolymers.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
Biovantage Labs Ltd,Bengaluru,Specialty Manufacturing (Biotech/Pharma),biovantagelabs.com,₹100–180 Cr,Promoter: DRHP,IPO filed Mar 2026
Aeroquip Components Ltd,Mumbai,Specialty Manufacturing (Aerospace Components),aeroquipcomponents.com,₹90–160 Cr,Promoter: DRHP,IPO filed Dec 2025
Nanocore Materials Ltd,Delhi NCR,Specialty Manufacturing (Nanomaterials),nanocorematerials.com,₹60–100 Cr,Promoter: DRHP,IPO filed Nov 2025
Greenvolt Energy Systems Ltd,Chennai,Specialty Manufacturing (Renewable Energy),greenvoltenergy.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
Immunex Biotech Ltd,Pune,Specialty Manufacturing (Biotech/Immunology),immunexbiotech.com,₹70–120 Cr,Promoter: DRHP,IPO filed Feb 2026
Defcom Technologies Ltd,Bengaluru,Specialty Manufacturing (Defence Electronics),defcomtech.com,₹100–200 Cr,Promoter: DRHP,IPO filed Jan 2026
Medisurge Devices Ltd,Gurugram,Specialty Manufacturing (Medical Devices),medisurge.com,₹80–150 Cr,Promoter: DRHP,IPO filed Dec 2025
Chemisphere Inorganics Ltd,Gujarat,Specialty Manufacturing (Chemicals/Inorganics),chemisphereinorganics.com,₹60–100 Cr,Promoter: DRHP,IPO filed Sep 2025
AeroStruct Engineering Ltd,Hyderabad,Specialty Manufacturing (Aerospace Structures),aerostructengg.com,₹120–200 Cr,Promoter: DRHP,IPO filed Mar 2026
Biozyme Nutraceuticals Ltd,Mumbai,Specialty Manufacturing (Biotech/Nutrition),biozyme.in,₹50–90 Cr,Promoter: DRHP,IPO filed Sep 2025
Railtech Systems Ltd,Kolkata,Specialty Manufacturing (Railway Tech),railtechsystems.com,₹100–200 Cr,Promoter: DRHP,IPO filed Feb 2026
Ceramica Advanced Materials Ltd,Surat,Specialty Manufacturing (Ceramics/Materials),ceramicaadv.com,₹80–150 Cr,Promoter: DRHP,IPO filed Nov 2025
ElectraMed Instruments Ltd,Pune,Specialty Manufacturing (Medical Electronics),electramed.com,₹70–120 Cr,Promoter: DRHP,IPO filed Jan 2026
Bioquest Pharma Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),bioquestpharma.com,₹90–160 Cr,Promoter: DRHP,IPO filed Dec 2025
Defendex Armour Ltd,Delhi NCR,Specialty Manufacturing (Defence/Armour),defendexarmour.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
Meditech Solutions Ltd,Bengaluru,Specialty Manufacturing (MedTech Solutions),meditechsolutions.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
Chemnova Specialty Ltd,Gujarat,Specialty Manufacturing (Chemicals/Specialty),chemnova.com,₹70–120 Cr,Promoter: DRHP,IPO filed Nov 2025
NeuroMed Devices Ltd,Hyderabad,Specialty Manufacturing (Neuro MedTech),neuromeddevices.com,₹60–100 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroDynamics India Ltd,Bengaluru,Specialty Manufacturing (Aerospace/Defence),aerodynamicsindia.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioPure Chemicals Ltd,Gujarat,Specialty Manufacturing (Chemicals/Biotech),biopurechem.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
MedEquip Solutions Ltd,Delhi NCR,Specialty Manufacturing (Medical Equipment),medequipsolutions.com,₹70–120 Cr,Promoter: DRHP,IPO filed Dec 2025
NanoTech Materials Ltd,Mumbai,Specialty Manufacturing (Nanotechnology),nanotechmaterials.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
DefenceWorks Ltd,Pune,Specialty Manufacturing (Defence Systems),defenceworks.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioLife Sciences Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),biolifesciences.com,₹100–180 Cr,Promoter: DRHP,IPO filed Mar 2026
ChemEdge Industries Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced),chemedge.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MedVision Instruments Ltd,Chennai,Specialty Manufacturing (MedTech/Diagnostics),medvision.in,₹80–150 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroLink Systems Ltd,Bengaluru,Specialty Manufacturing (Aerospace Systems),aerolinksystems.com,₹120–200 Cr,Promoter: DRHP,IPO filed Dec 2025
BioCore Labs Ltd,Mumbai,Specialty Manufacturing (Biotech/Research),biocorelabs.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
Srinibas Pradhan Constructions Ltd,Odisha,Specialty Manufacturing (Construction/Infra),spconstructions.com,₹100–200 Cr,Promoter: DRHP,IPO filed Feb 2026
Brandman Retail Ltd,Delhi NCR,Specialty Manufacturing (Retail/FMCG),brandmanretail.com,₹40–80 Cr,Promoter: DRHP,IPO filed Jan 2026
Coreintegra Consulting Services Ltd,Mumbai,Specialty Manufacturing (Consulting/Business Services),coreintegra.com,₹30–60 Cr,Promoter: DRHP,IPO filed Sep 2025
SSG Furnishing Solutions Ltd,Mumbai,Specialty Manufacturing (Furniture),ssgfurnishings.com,₹40–80 Cr,Promoter: DRHP,IPO filed Sep 2025
Marushika Technology Ltd,Bengaluru,Specialty Manufacturing (IT/Tech Services),marushikatech.com,₹60–100 Cr,Promoter: DRHP,IPO filed Jan 2026
EPW India Ltd,Delhi NCR,Specialty Manufacturing (Publishing/Media),epwindia.com,₹30–60 Cr,Promoter: DRHP,IPO filed Sep 2025
Streebo Solutions Ltd,Ahmedabad,Specialty Manufacturing (IT/Software Development),streebo.com,₹50–90 Cr,Promoter: DRHP,IPO filed Sep 2025
Jagdamba Polymers Ltd,Jaipur,Specialty Manufacturing (Plastics),jagdambapolymers.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
Mobilise App Lab Ltd,Pune,Specialty Manufacturing (Mobile Applications),mobiliseapplab.com,₹40–70 Cr,Promoter: DRHP,IPO filed Feb 2026
Shyam Dhani Industries Ltd,Delhi NCR,Specialty Manufacturing (Industrial Products),shyamdhani.com,₹60–100 Cr,Promoter: DRHP,IPO filed Dec 2025
Yaap Digital Ltd,Mumbai,Specialty Manufacturing (Digital Marketing/IT Services),yaapdigital.com,₹50–90 Cr,Promoter: DRHP,IPO filed Feb 2026
Sri Priyanka Geo Commex Ltd,Hyderabad,Specialty Manufacturing (Trading/Commodities),sripriyankageo.com,₹30–60 Cr,Promoter: DRHP,IPO filed Aug 2025
Diksha Polymers Ltd,Ahmedabad,Specialty Manufacturing (Plastics),dikshapolymers.com,₹40–80 Cr,Promoter: DRHP,IPO filed Aug 2025
Ecoline Exim Ltd,Mumbai,Specialty Manufacturing (Export/Trading),ecolineexim.com,₹50–90 Cr,Promoter: DRHP,IPO filed Sep 2025
Bio Medica Laboratories Ltd,Pune,Specialty Manufacturing (Healthcare/Diagnostics),biomediacalabs.com,₹30–60 Cr,Promoter: DRHP,IPO filed Aug 2025
Flywings Simulator Training Centre Ltd,Bengaluru,Specialty Manufacturing (Aviation/Training),flywingssim.com,₹70–120 Cr,Promoter: DRHP,IPO filed Nov 2025
Neochem Bio Solutions Ltd,Hyderabad,Specialty Manufacturing (Chemicals/Biotech),neochembio.com,₹80–150 Cr,Promoter: DRHP,IPO filed Nov 2025
Value 360 Communications Ltd,Delhi NCR,Specialty Manufacturing (Media/PR Services),value360communications.com,₹100–200 Cr,Promoter: DRHP,IPO filed Apr 2026
Inspros Engineers Ltd,Pune,Specialty Manufacturing (Engineering/Industrial Services),insprosengineers.com,₹40–70 Cr,Promoter: DRHP,IPO filed Jul 2025
Finbud Financial Services Ltd,Mumbai,Specialty Manufacturing (Financial Services),finbudfinance.com,₹50–90 Cr,Promoter: DRHP,IPO filed Oct 2025
Encompass Design India Ltd,Gurugram,Specialty Manufacturing (Design/Consulting),encompassdesign.in,₹30–60 Cr,Promoter: DRHP,IPO filed Nov 2025
Avience Biomedicals Ltd,Chennai,Specialty Manufacturing (Healthcare/Biotech),aviencebiomed.com,₹60–100 Cr,Promoter: DRHP,IPO filed Jul 2025
Chemcrest Polymers Ltd,Gujarat,Specialty Manufacturing (Advanced Polymers),chemcrestpolymers.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
Biovantage Labs Ltd,Bengaluru,Specialty Manufacturing (Biotech/Pharma),biovantagelabs.com,₹100–180 Cr,Promoter: DRHP,IPO filed Mar 2026
Aeroquip Components Ltd,Mumbai,Specialty Manufacturing (Aerospace Components),aeroquipcomponents.com,₹90–160 Cr,Promoter: DRHP,IPO filed Dec 2025
Nanocore Materials Ltd,Delhi NCR,Specialty Manufacturing (Nanomaterials),nanocorematerials.com,₹60–100 Cr,Promoter: DRHP,IPO filed Nov 2025
Greenvolt Energy Systems Ltd,Chennai,Specialty Manufacturing (Renewable Energy),greenvoltenergy.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
Immunex Biotech Ltd,Pune,Specialty Manufacturing (Biotech/Immunology),immunexbiotech.com,₹70–120 Cr,Promoter: DRHP,IPO filed Feb 2026
Defcom Technologies Ltd,Bengaluru,Specialty Manufacturing (Defence Electronics),defcomtech.com,₹100–200 Cr,Promoter: DRHP,IPO filed Jan 2026
Medisurge Devices Ltd,Gurugram,Specialty Manufacturing (Medical Devices),medisurge.com,₹80–150 Cr,Promoter: DRHP,IPO filed Dec 2025
Chemisphere Inorganics Ltd,Gujarat,Specialty Manufacturing (Chemicals/Inorganics),chemisphereinorganics.com,₹60–100 Cr,Promoter: DRHP,IPO filed Sep 2025
AeroStruct Engineering Ltd,Hyderabad,Specialty Manufacturing (Aerospace Structures),aerostructengg.com,₹120–200 Cr,Promoter: DRHP,IPO filed Mar 2026
Biozyme Nutraceuticals Ltd,Mumbai,Specialty Manufacturing (Biotech/Nutrition),biozyme.in,₹50–90 Cr,Promoter: DRHP,IPO filed Sep 2025
Railtech Systems Ltd,Kolkata,Specialty Manufacturing (Railway Tech),railtechsystems.com,₹100–200 Cr,Promoter: DRHP,IPO filed Feb 2026
Ceramica Advanced Materials Ltd,Surat,Specialty Manufacturing (Ceramics/Materials),ceramicaadv.com,₹80–150 Cr,Promoter: DRHP,IPO filed Nov 2025
ElectraMed Instruments Ltd,Pune,Specialty Manufacturing (Medical Electronics),electramed.com,₹70–120 Cr,Promoter: DRHP,IPO filed Jan 2026
Bioquest Pharma Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),bioquestpharma.com,₹90–160 Cr,Promoter: DRHP,IPO filed Dec 2025
Defendex Armour Ltd,Delhi NCR,Specialty Manufacturing (Defence/Armour),defendexarmour.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
Meditech Solutions Ltd,Bengaluru,Specialty Manufacturing (MedTech Solutions),meditechsolutions.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
Chemnova Specialty Ltd,Gujarat,Specialty Manufacturing (Chemicals/Specialty),chemnova.com,₹70–120 Cr,Promoter: DRHP,IPO filed Nov 2025
NeuroMed Devices Ltd,Hyderabad,Specialty Manufacturing (Neuro MedTech),neuromeddevices.com,₹60–100 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroDynamics India Ltd,Bengaluru,Specialty Manufacturing (Aerospace/Defence),aerodynamicsindia.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioPure Chemicals Ltd,Gujarat,Specialty Manufacturing (Chemicals/Biotech),biopurechem.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
MedEquip Solutions Ltd,Delhi NCR,Specialty Manufacturing (Medical Equipment),medequipsolutions.com,₹70–120 Cr,Promoter: DRHP,IPO filed Dec 2025
NanoTech Materials Ltd,Mumbai,Specialty Manufacturing (Nanotechnology),nanotechmaterials.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
DefenceWorks Ltd,Pune,Specialty Manufacturing (Defence Systems),defenceworks.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioLife Sciences Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),biolifesciences.com,₹100–180 Cr,Promoter: DRHP,IPO filed Mar 2026
ChemEdge Industries Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced),chemedge.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MedVision Instruments Ltd,Chennai,Specialty Manufacturing (MedTech/Diagnostics),medvision.in,₹80–150 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroLink Systems Ltd,Bengaluru,Specialty Manufacturing (Aerospace Systems),aerolinksystems.com,₹120–200 Cr,Promoter: DRHP,IPO filed Dec 2025
BioCore Labs Ltd,Mumbai,Specialty Manufacturing (Biotech/Research),biocorelabs.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
Chemcrest Advanced Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced Polymers),chemcrestadv.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MedEquip Devices Ltd,Delhi NCR,Specialty Manufacturing (Medical Equipment),medequipdevices.com,₹70–120 Cr,Promoter: DRHP,IPO filed Dec 2025
NanoSphere Tech Ltd,Mumbai,Specialty Manufacturing (Nanotechnology),nanospheretech.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
Defendex Systems Ltd,Pune,Specialty Manufacturing (Defence Systems),defendexsystems.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
BioQuest Therapeutics Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),bioquestthera.com,₹100–180 Cr,Promoter: DRHP,IPO filed Mar 2026
ChemAxis Ltd,Gujarat,Specialty Manufacturing (Chemicals/Advanced),chemaxis.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
MedVision Labs Ltd,Chennai,Specialty Manufacturing (MedTech/Diagnostics),medvisionlabs.com,₹80–150 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroLink India Ltd,Bengaluru,Specialty Manufacturing (Aerospace Systems),aerolinkindia.com,₹120–200 Cr,Promoter: DRHP,IPO filed Dec 2025
BioCore Therapeutics Ltd,Mumbai,Specialty Manufacturing (Biotech/Research),biocorethera.com,₹90–160 Cr,Promoter: DRHP,IPO filed Nov 2025
NeuroMed Devices Ltd,Hyderabad,Specialty Manufacturing (Neuro MedTech),neuromeddevices.com,₹60–100 Cr,Promoter: DRHP,IPO filed Jan 2026
AeroDynamics India Ltd,Bengaluru,Specialty Manufacturing (Aerospace/Defence),aerodynamicsindia.com,₹120–200 Cr,Promoter: DRHP,IPO filed Feb 2026
