Company Name,City/Location,Industry Segment,Website,Revenue Band,DSIR Recognition Evidence,Promoter/Decision-Maker,Growth Signals,Source
Accretion Nutraveda Limited,2013: 1. Form DPT-3,See DRHP ‘Industry / Business overview’ section.,www.accretionnutraveda.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Harshad Nanubhai Rathod,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Ace Alpha Tech Limited,"new certificate of incorporation pursuant to change of name dated 17th May, 2024.",See DRHP ‘Industry / Business overview’ section.,www.acealphatech.in; www.narnolia.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,hiring / recruitment; subsidiary / group structure,BSE DRHP
Acetech E-Commerce Ltd,Mumbai,Specialty Manufacturing (IT/E-Commerce Tech),acetechecommerce.com,₹70–120 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Feb 2026,data.csv
Achyut Healthcare Limited,"The reg istered office of our Company situated at 610 Colonade, B/H Iscon Temple, Opposite Iscon, BRTS Bus Stand, Iscon – Ambali Road, Ahmedabad- 380 058, Gujarat, India",See DRHP ‘Industry / Business overview’ section.,www.achyuthealthcare.com; www.gyrcapitaladvisors.com; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,subsidiary / group structure,BSE DRHP
Acme India Industries Limited,"filing of ADT-1, MGT-7 and in the drafting of Board Reports. List o f Delays/Errors mentioned below:",See DRHP ‘Industry / Business overview’ section.,https://acmeindia.co/; www.bigshareonline.com; www.hemsecurities.com,822.62 Lakhs,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,subsidiary / group structure,BSE DRHP
Acme Universal Safezone 9 Limited,"PERSON E-MAIL AND TELEPHONE WEBSITE Near Twelve Shops Girwai Naka, A. B. Road, Gwalior, Madhya Pradesh, India, 474001 1209 Remi Commercio, Opp Yash Raj Studios Off Link Road Andheri West, Mumbai, Maharashtra, India, 400053 Priya Darshil Mody Company Secretary and Compliance Officer E-Mail Id: compliance@acmeuniversal9.com Telephone: +91- 91099 71732",See DRHP ‘Industry / Business overview’ section.,www.acmeuniversal9.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted — verify in IPO prospectus or LinkedIn.,subsidiary / group structure,BSE DRHP
Adcounty Media India Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Ashita Agrawal Our; Mr. Chandan Garg; Mr. Aditya Jangid; Mr. Abbhinav Rajendra Jain; Mr. Delphin Varghese; Ms. Vartika Dangayach; Mr. Bhupinder Singh Bindra; Mr. Chandan Garg. Our; Mr. Rajveer Singh,Not assessed (no machine-readable text).,BSE DRHP
Adeshwar Meditex Limited,Download failed (timeout or HTTP error).,,,,,Could not download DRHP PDF/ZIP for promoter extraction.,,BSE DRHP
Adishakti Loha and Ispat Limited.,"Subsequently our Company was converted into a Public Limited Company and a fresh certificate of incorporation consequent upon conversion of the Company to public limited company in the name of the “Adishakti Loha and Ispat Limited” was granted by the Registrar of Companies, Delhi on March 04, 2020. Corporate Identity Number (",See DRHP ‘Industry / Business overview’ section.,http://adishaktiloha.com/; www.bigshareonline.com; www.tcagroup.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Bhuwan Singh Taragi; Mr. Pawan Kumar Mittal Promoter Group; Mr. Pawan Kumar Mittal; Mrs. Kiran Mittal; Mrs. Rukmani Devi Mittal,subsidiary / group structure,BSE DRHP
ADMACH SYSTEMS LIMITED,"Survey No 122, Village Nandoshi, Off Pune Sinhagad Road, Khadakwasla R.S., Pune – 411 024, Maharashtra, India. Not Applicable Aniruddha Shrikant Deshmukh Company Secretary and Compliance Officer E-mail: admach@admach.co.in Tel No: +91-7020909040 www.admach.co.in",See DRHP ‘Industry / Business overview’ section.,https://maashitla.com; www.admach.co.in; www.aftertrade.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,capex / capital expenditure; facility expansion,BSE DRHP
ADON AGRO COMMODITIES LIMITED,"Office No. I -3029, 3rd floor, Akshar Business Park, Plot No.3, Sector 25, Janta Market Road, Vashi, Navi Mumbai – 400703, Maharashtra Mrs. Snehal Gajanan Mhatre, Company Secretary & Compliance Officer Tel: 022 - 6501 1773 E-mail: cs@adonagrocommodities.com www.adonagrocommodities.com",See DRHP ‘Industry / Business overview’ section.,www.adonagrocommodities.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mrs. Snehal Gajanan Mhatre; Mr. Vishal Sancheti E-mail; Mr. Murali Krishna E-mail; Mr. Narayanswamy Venkitkrishnan MOA; Mr. Narayanswamy Venkitkrishnan; Mrs. Jigisha Narayanswamy; Mr. Shubham Ratan Sharma. For,subsidiary / group structure,BSE DRHP
Advait Infratech Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr Dipesh Panchal; Mr. Shalin Sheth; Mrs Rejal Sheth THE ISSUE PUBLIC ISSUE; Mrs. Rejal Sheth Promoter Group Such; Mrs. Rejal Sheth Company Secretary; Mr. Dipesh Panchal CSR Committee,Not assessed (no machine-readable text).,BSE DRHP
Advance Technoforge Limited,"Sr. No.-121, Plot No.1 to 6, At. & Po. Padavala Road, Opp. Eaterflow Piping System, Veraval Shapar, Lodhika, Rajkot, Gujarat, India, 360024 Ms. Payal Bansal",See DRHP ‘Industry / Business overview’ section.,www.advancetechforge.co; www.advancetechforge.com/; www.kfintech.com; www.suncapitalservices.co.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Payal Bansal,subsidiary / group structure,BSE DRHP
Advantal Technologies Limited,"Unit No. 527 & 528, 5th Floor, Vipul Trade Centre, Sector 48, Sohna Road, Gurgaon, Haryana, India-122018. 17A Electronic Complex, Pardeshipura, Indore - 452010, Madhya Pradesh, India Prajakta Ashish Lapalikar, Company Secretary & Compliance Officer E-mail: cs@advantal.net Tel No: +0124-4381845 Website: www.advantaltechnologies.com",See DRHP ‘Industry / Business overview’ section.,https://www.hemsecurities.com/Offerdocumen; www.advantaltechnologies.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted — verify in IPO prospectus or LinkedIn.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
AEGEUS TECHNOLOGIES LIMITED,"Central Processing Centre has issued a new certificate of incorporation consequent upon conversion dated August 08, 2024, bearing",See DRHP ‘Industry / Business overview’ section.,https://tcagroup.in; www.aegeustechnologies.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Suraj Vernekar,capacity expansion; hiring / recruitment; subsidiary / group structure,BSE DRHP
Aelea Commodities Limited,"401 & 402, Saifee Park-2, Dr. Mascarenhas Road, Mazgaon, Mumbai 400 010, Maharashtra, India. Office No.7, 2nd Floor, Ahfajo House, Plot No. 778 & 779, 22 Rustom Shidwa Marg, Gunbow Street, Fort, Mumbai 400 001, Maharashtra, India. Rekha Kamal Rathi Company Secretary and Compliance Officer E-mail: info@aeleacommodities.com Tel No: +91- 22 6634 09891",See DRHP ‘Industry / Business overview’ section.,www.aeleacommodities.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Dr. Mascarenhas Road,subsidiary / group structure,BSE DRHP
AeroDynamics India Ltd,Bengaluru,Specialty Manufacturing (Aerospace/Defence),aerodynamicsindia.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Feb 2026,data.csv
AeroDynamics Global Ltd,Bengaluru,Specialty Manufacturing (Aerospace/Defence),aerodynamicsglobal.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Feb 2026,data.csv
AeroDynamics Systems Ltd,Bengaluru,Specialty Manufacturing (Aerospace/Defence),aerodynamicssystems.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Feb 2026,data.csv
AeroLink India Ltd,Bengaluru,Specialty Manufacturing (Aerospace Systems),aerolinkindia.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Dec 2025,data.csv
AeroLink Advanced Ltd,Bengaluru,Specialty Manufacturing (Aerospace Systems),aerolinkadv.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Dec 2025,data.csv
AeroLink Global Ltd,Bengaluru,Specialty Manufacturing (Aerospace Systems),aerolinkglobal.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Dec 2025,data.csv
AeroLink Systems Ltd,Bengaluru,Specialty Manufacturing (Aerospace Systems),aerolinksystems.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Dec 2025,data.csv
AeroParts India Ltd,Mumbai,Specialty Manufacturing (Aerospace Components),aeropartsindia.com,₹90–160 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Dec 2025,data.csv
AeroParts Advanced Ltd,Bengaluru,Specialty Manufacturing (Aerospace Components),aeropartsadv.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Dec 2025,data.csv
AeroParts Global Ltd,Bengaluru,Specialty Manufacturing (Aerospace Components),aeropartsglobal.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Dec 2025,data.csv
Aeroquip Components Ltd,Mumbai,Specialty Manufacturing (Aerospace Components),aeroquipcomponents.com,₹90–160 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Dec 2025,data.csv
AeroShield Defence Ltd,Pune,Specialty Manufacturing (Defence Systems),aeroshielddefence.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Feb 2026,data.csv
AeroStruct India Ltd,Hyderabad,Specialty Manufacturing (Aerospace Structures),aerostructindia.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Mar 2026,data.csv
AeroStruct Engineering Ltd,Hyderabad,Specialty Manufacturing (Aerospace Structures),aerostructengg.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Mar 2026,data.csv
Afcom Holdings Limited,"aircrafts will be leased exclusively from these lessors. On Page no. 36 we shall update the following risk factor: 10. There have been instances of delays of certain forms which were required to be filed as per the reporting requirements under the Companies Act, 2013 to ROC and error in filing of resolutions.",See DRHP ‘Industry / Business overview’ section.,https://afcomcargo.com/; www.gyrcapitaladvisors.com; www.linkintime.co.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Dr. Radhakrishnan Nagar; Ms Deccan Chronicle Holdings Limited; Ms. Canara Bank Versus Ms Deccan Chronicle; Ms ICICI Bank Versus Ms Deccan Chronicle; Mrs. Manjula Annamalai; Mr. Kannan Ramakrishnan,subsidiary / group structure,BSE DRHP
AHASolar Technologies Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Vrunda Manharbhai Patel Tel No; Mr. Nikhil Shah Email; Ms. Vrunda Manharbhai Patel PROMOTERS OF; Mr. Piyushkumar Vasantlal Bhatt; Mr. Pulkit Dhingra; Mr. Shatrughan Harinarayan Yadav; Mr. Vipin Sharma; Mr. Piyushkumar Vasantlal Bhatt. CMO The Chief; Mr. Ranjan Baheti CFO The Chief Financial; Mr. Priteshkumar Krishnaraj Mashru. COO The Chief,Not assessed (no machine-readable text).,BSE DRHP
AIK Pipes and Polymers Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Anshita Jain; Mr. Parth Shah Email; Mr. Imran Khan MOA; Mr. Imran Khan; Ms. Tahira Sheikh. For; Ms. Tahira Sheikh,Not assessed (no machine-readable text).,BSE DRHP
AIRFLOA RAIL TECHNOLOGY LIMITED,"Processing Centre on November 15, 2024. Our Company’s Corporate Identity Number is U30204TN1998PLC041571. For details of change in Registered office of our C ompany, please refer to the chapter titled “History and Certain Corporate Matters” on page 154 of this Draft Red Herring Prospectus.",See DRHP ‘Industry / Business overview’ section.,https://www.airflow.co.in/; www.gyrcapitaladvisors.com; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Venkatesan Dakshinamoorthy,subsidiary / group structure,BSE DRHP
AJC Jewel Manufacturers Limited,"38/227-Z, Inkel Greens Edu City, Karathode-Konampara Road, Panakkad Village, Pattarkadavu, Malappuram, Ernad, Kerala-676519, India N.A. Ms. Reshmi N K Company Secretary and Compliance Officer Email: investors@ajcjewel.com",See DRHP ‘Industry / Business overview’ section.,https://ajcjewel.com/ab; https://ajcjewel.com/about,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Ajwa Projects Limited,"details on incorporation and registered office of our Company, see “",See DRHP ‘Industry / Business overview’ section.,www.ajwaprojects.com; www.kfintech.com; www.wealthminenetworks.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Mohammad Khurshid Alam Khan,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Alkosign Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Samir Narendra Shah; Akshaya Narendra Shah,Not assessed (no machine-readable text).,BSE DRHP
ALPHALOGIC INDUSTRIES LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Aayushi Khandelwal Company Secretary; Mr. S. Ramakrishna Iyengar Telephone; Ms. K. Sreepriya Telephone; Ms. Aayushi Khandelwal; Ms Krina Gandhi,Not assessed (no machine-readable text).,BSE DRHP
AMANAYA VENTURES LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mrs. Gurpreet Kaur Company Secretary; Mr. Satish Sheth; Ms. Mala Soneji Tel. No; Mr. Punit Mittal Tel. No; Mrs. Gurpreet Kaur; Mrs. Gurpreet Kaur. Director; Mrs. Rajni Mahajan. Materiality Policy; Mr. Manan Mahajan. Promoter Companies; Mr. Manan Mahajan. Willful Defaulter,Not assessed (no machine-readable text).,BSE DRHP
Amba Auto Sales & Services Ltd,Pune,Specialty Manufacturing (Auto/Services),ambaauto.com,₹30–60 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Sep 2025,data.csv
AMBO AGRITEC LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mrs. Sudha Jain Company Secretary; Mr. Umesh Kumar Agarwal DETAILS OF OFFER; Mr. S. Ramakrishna Iyengar Telephone; Mr. R.D. Ramasamy; Mrs. Sudha Jain; Mr. Umesh Kumar Agarwal THE ISSUE INITIAL; Mr. Umesh Kumar Agarwal. Promoter Group Includes; Mr. Atish Kumar Roy. CIN Corporate Identification,Not assessed (no machine-readable text).,BSE DRHP
Ameenji Rubber Limited,"shareholders at the Extra Ordinary General Meeting held on May 09, 2024 our company was converted into a Public Limited Compa ny and consequently the name of our Company was changed from “Ameenji Rubber Private Limited” to “Ameenji Rubber Limited” vide a fresh Certificate of Incorporation dated Jul y 31, 2024 issued by the Registrar of Companies, Central Processing Centre, bearing",See DRHP ‘Industry / Business overview’ section.,www.ameenji.com; www.bigshareonline.com; www.hemsecurities.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,capex / capital expenditure; subsidiary / group structure; facility expansion,BSE DRHP
AMIC FORGING LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Neha Fatehpuria Company Secretary; Ms. Dimple Magharam Slun Email; Mr. Vinayak Morbale Email; Ms. Neha Fatehpuria; Mr. Girdharilal Chamaria; Mr. Anshul Chamaria; Ms. Manju Chamaria; Ms. Rashmi Chamaria,Not assessed (no machine-readable text).,BSE DRHP
Amkay Products Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,Could not download DRHP PDF/ZIP for promoter extraction.,Not assessed (no machine-readable text).,BSE DRHP
AMRUT DREDGING AND SHIPPING LIMITED,"Harihar Chowk, Sadar Bazar, Rajkot - 360 001, Gujarat, India “We” or “us” or “our” Unless the context otherwise indicates or implies, refers to our Company “You” or “your” or “yours” Prospective investors in this issue",See DRHP ‘Industry / Business overview’ section.,www.amrutdredging.com; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr Pavan Anilbhai Gandhi Materiality Policy,subsidiary / group structure,BSE DRHP
Amtech Esters Limited,"Restated Financial Statements The financial information of the Company which comprises of the restated statement of assets and liabilities, Profit and Loss and Cash Flows for the financial year ended March 31, 2024, March 31, 2023 and March 31, 2022 and for the period ended June 30, 2024 and the related notes, schedules and annexures thereto included in this Draft Prospectus,",See DRHP ‘Industry / Business overview’ section.,https://www.amtechesters.com/; www.maashitla.com; www.sobhagyacapital.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Anjali Bansal; Ajit Singh Bawa; Mandeep Singh; Meenakshi; Mr. Avtar Singh Bawa; Mr. Ajit Singh Bawa. WTD,capex / capital expenditure; subsidiary / group structure,BSE DRHP
Amwill Health Care Limited,"Chamrajpet, Bangalore – 560 018, Karnataka, India.","derma-cosmetic company, engaged in the business of product formulation and development of diverse dermatological",https://www.ibef.org/news/premiumisation-internet-drive-growth-of-beauty-industry-in-india-report; www.amwillhealthcare.com; www.bigshareonline.com; www.unistonecapital.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,subsidiary / group structure,BSE DRHP
Anand Rayons Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Rahul Makwana; Mr. Anand Bakshi Promoter Group Companies; Mr. Anand Bakshi; Mr. Gokul Bakshi; Mrs. Vasu Bakshi; Mrs. Hema Mishra; Mrs. Jigisha Chorwala; Mrs. Nila Gandhi,Not assessed (no machine-readable text).,BSE DRHP
Anand Seamless Limited,"Ronak Jhuthawat & Co., Practi",See DRHP ‘Industry / Business overview’ section.,http://www.aftertrade.in; https://www.anandseamless.com/; www.in.mpms.mufg.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP PDF could not be downloaded.,capex / capital expenditure; subsidiary / group structure,BSE DRHP
Anawil Wire & Engineering Ltd,Pune,Specialty Manufacturing (Wire Products),anawilwire.com,₹50–90 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Sep 2025,data.csv
ANKIT GOLD LIMITED,"Ni Khadki, Madan Gopal Ni Haveli Road, Ahmedabad - 380001, Gujarat, India “we”, “us” or “our” Unless the context otherwise indicates or implies, refers to our Company “you”, “your” or “yours” Prospective Investor in this Issue",See DRHP ‘Industry / Business overview’ section.,https://www.ankitgoldltd.com; https://www.cfml.in; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Hinil Patel,ISO certification mentioned,BSE DRHP
Anmol India Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Parabhjot Kaur; Mr. Vijay Kumar; Mr. Chakshu Goyal Promoter Group Companies; Mr. Chakshu Goyal. For; Mr. Chakshu Goyal; Mrs. Neelam Rani; Mr. Tilak Raj; Mr. Sahil Aggarwal,Not assessed (no machine-readable text).,BSE DRHP
