row_index,company_name,drhp_or_draft_date,drhp_or_draft_document_url
35,Futurex Management Solution Limited,25/02/2026,https://www.bsesme.com/download/348290/SME_IPO%20InPrinciple/FuturexManagementSolutionsLimited_20260225233325.pdf
36,Lorven International Limited,25/02/2026,https://www.bsesme.com/download/315269/SME_IPO%20InPrinciple/Draft_Prospectus_Lorven_20260225202720.pdf
37,Sham Foam Limited,23/02/2026,https://www.bsesme.com/download/314291/SME_IPO%20InPrinciple/ShamFoamDP_Addendum_20260324123343.pdf
38,Twinkle Papers limited,23/02/2026,https://www.bsesme.com/download/359535/SME_IPO%20InPrinciple/DRHPandAddendum_20260416132759.pdf
39,Fusion Klassroom Edutech Limited,18/02/2026,https://www.bsesme.com/download/340346/SME_IPO%20InPrinciple/Addendum_DRHP_Klassroom_20260511135221.pdf
40,MILLWORKS TECHNOLOGIES LIMITED,17/02/2026,https://www.bsesme.com/download/381214/SME_IPO%20InPrinciple/Final_DRHP_Millworks_20260217050907.pdf
41,Liqvd Digital India Limited,03/02/2026,https://www.bsesme.com/download/393128/SME_IPO%20InPrinciple/DRHPAddendum_LIQVD__20260203125201.pdf
42,Liqvd Digital India Limited,03/02/2026,https://www.bsesme.com/download/393128/SME_IPO%20InPrinciple/DRHPAddendum_LIQVD__20260203122939.pdf
43,Panchatv Bharat limited,02/02/2026,https://www.bsesme.com/download/322739/SME_IPO%20InPrinciple/AddendumandDP_20260505113444.pdf
44,Paluck Technologies Limited,20/01/2026,https://www.bsesme.com/download/387760/SME_IPO%20InPrinciple/Paluck_Technologies_Limited_DRHP_Addendum_Merged_20260306153739.pdf
45,Technocrats Plasma Systems Limited,31/12/2025,https://www.bsesme.com/download/354303/SME_IPO%20InPrinciple/DRHPTECHNO_20251231235639.pdf
46,UHM Vacation Limited,31/12/2025,https://www.bsesme.com/download/305731/SME_IPO%20InPrinciple/DRHPUHMFinal_20260111190824.pdf
47,Fly-Hi Maritime Travels Limited,31/12/2025,https://www.bsesme.com/download/375028/SME_IPO%20InPrinciple/Addendum_FlyHi_20260310114257.pdf
48,Craftech Paper Mills Limited,31/12/2025,https://www.bsesme.com/download/335833/SME_IPO%20InPrinciple/Addendum_and_DRHP_08.04.26_20260408191914.pdf
49,Dhnawel Hybrid Seeds Limited,31/12/2025,https://www.bsesme.com/download/396632/SME_IPO%20InPrinciple/DRHPDhanwel_20260305160837.pdf
50,Larisa Hotels and Resorts Limited,31/12/2025,https://www.bsesme.com/download/382862/SME_IPO%20InPrinciple/DRHP_20251231210846.pdf
51,Saffron Speciality Papers Limited,31/12/2025,https://www.bsesme.com/download/380603/SME_IPO%20InPrinciple/DRHP_SaffronSpecialityPapersLimited_20251231195818.pdf
52,FX Multitech Limited,31/12/2025,https://www.bsesme.com/download/305086/SME_IPO%20InPrinciple/ADDENDUMDRHP_20260508150111.pdf
53,AEGEUS TECHNOLOGIES LIMITED,31/12/2025,https://www.bsesme.com/download/394789/SME_IPO%20InPrinciple/Addendum_DRHP_Merged_20260317133557.pdf
54,Wagons Learning Limited,31/12/2025,https://www.bsesme.com/download/316345/SME_IPO%20InPrinciple/Annexure1DP_20251231164409.pdf
55,Kratikal Tech Limited,31/12/2025,https://www.bsesme.com/download/336105/SME_IPO%20InPrinciple/DRHP_Kratikal_With_Addendum_20260325221931.pdf
56,Sotefin Bharat Limited,30/12/2025,https://www.bsesme.com/download/349234/SME_IPO%20InPrinciple/SotefinBharatLtd_20260330144508_20260401120206.pdf
57,Efficient Fire and Security Solutions Limited,30/12/2025,https://www.bsesme.com/download/340210/SME_IPO%20InPrinciple/AddendumwithDRHP_20260417110039.pdf
58,Taldar Hotels and Resorts Limited,29/12/2025,https://www.bsesme.com/download/374662/SME_IPO%20InPrinciple/AddendumandDraftProspectus_Taldar_20260327133502.pdf
59,Silverstorm Parks and Resorts Limited,28/12/2025,https://www.bsesme.com/download/316011/SME_IPO%20InPrinciple/SPRL_DRHP_26122025_20251228015608.pdf
60,Recode Studios Limited,27/12/2025,https://www.bsesme.com/download/393393/SME_IPO%20InPrinciple/RecodeAddendumDRHP_20260216173939.pdf
61,YAASHVI JEWELLERS LIMITED,25/12/2025,https://www.bsesme.com/download/331108/SME_IPO%20InPrinciple/AddendumandDPYaashvi_20260304155745.pdf
62,Advance Technoforge Limited,24/12/2025,https://www.bsesme.com/download/386103/SME_IPO%20InPrinciple/26AdvanceTechnoforgeDraftProspectusandaddendum_20260401171700.pdf
63,Aureate Tradde Limited,23/12/2025,https://www.bsesme.com/download/364173/SME_IPO%20InPrinciple/AddendumAureate_20260220130958.pdf
64,Mother Agri Food Limited,18/12/2025,https://www.bsesme.com/download/300703/SME_IPO%20InPrinciple/DRHP_MotherAgri_BSE18122025_with_Addendum25022026_20260225212750.pdf
65,Diksha Polymers Limited,16/12/2025,https://www.bsesme.com/download/338226/SME_IPO%20InPrinciple/Addendum_with_Draft_Prospectus_Diksha_Polymers_Ltd_20260127104404.pdf
66,Peshwa Wheat Limited,16/12/2025,https://www.bsesme.com/download/381031/SME_IPO%20InPrinciple/DRHPPESHWA_20251216153357.pdf
67,NTL India Limited,15/12/2025,https://www.bsesme.com/download/323613/SME_IPO%20InPrinciple/Addendum_DRHP_20260219150106.pdf
68,RCRS Innovations Limited,10/12/2025,https://www.bsesme.com/download/371106/SME_IPO%20InPrinciple/DRHP_RCRS_Innovations_Ltd_20251210185723.pdf
69,Vahh Chemicals Limited,03/12/2025,https://www.bsesme.com/download/329359/SME_IPO%20InPrinciple/AddendumDPVahh_20260209180720.pdf
70,Black Opal Consultants Limited,17/11/2025,https://www.bsesme.com/download/352690/SME_IPO%20InPrinciple/DRHPBOC_20251117154714.pdf
71,Udaan Paper Industries Limited,12/11/2025,https://www.bsesme.com/download/382682/SME_IPO%20InPrinciple/DRHPAddendumUdaan_20260324193839.pdf
72,ENS Enterprises Limited,01/11/2025,https://www.bsesme.com/download/321343/SME_IPO%20InPrinciple/AddendumENS_20260226104451.pdf
73,MTE STRUCTURES LIMITED,31/10/2025,https://www.bsesme.com/download/366087/SME_IPO%20InPrinciple/MTE_Addendum_DRHP_20260119144917.pdf
74,Fractal Industries Limited,18/10/2025,https://www.bsesme.com/download/368392/SME_IPO%20InPrinciple/DRHPFractal_20251018200443.pdf
75,Ajwa Projects Limited,09/10/2025,https://www.bsesme.com/download/355566/SME_IPO%20InPrinciple/Ajwa_DraftProspectus_20260105163158.pdf
76,Kwick Forensic Solutions Limited,01/10/2025,https://www.bsesme.com/download/331759/SME_IPO%20InPrinciple/DRHPKwick_20251001234132.pdf
77,Liqvd Digital India Limited,01/10/2025,https://www.bsesme.com/download/393128/SME_IPO%20InPrinciple/DRHPAddendum_LIQVD__20260203125304.pdf
78,PARAMOUNT SYNTEX LIMITED,01/10/2025,https://www.bsesme.com/download/395143/SME_IPO%20InPrinciple/ParamountDRHP30092025_20251001003830.pdf
79,Apana Logistics Limited,30/09/2025,https://www.bsesme.com/download/339300/SME_IPO%20InPrinciple/ApanaAddendum_20260127112225.pdf
80,PARAMOUNT SYNTEX LIMITED,30/09/2025,https://www.bsesme.com/download/395143/SME_IPO%20InPrinciple/Paramount_Final_DRHP_20251002173929.pdf
81,ACCORD TRANSFORMER & SWITCHGEAR LIMITED,30/09/2025,https://www.bsesme.com/download/339916/SME_IPO%20InPrinciple/DRHPwithAddendum_20251124141637.pdf
82,Vision Time India Limited,30/09/2025,https://www.bsesme.com/download/384415/SME_IPO%20InPrinciple/VisionTimeIndiaAddendumandDRHP_20260129195930.pdf
83,K. V. TOYS INDIA LIMITED,30/09/2025,https://www.bsesme.com/download/333191/SME_IPO%20InPrinciple/KVToysAddendumDRHP_20251122001656.pdf
84,RAKSAN TRANSFORMERS LIMITED,30/09/2025,https://www.bsesme.com/download/364084/SME_IPO%20InPrinciple/26._DRHP_Raksan_20250930231345.pdf
85,Mopshop Distribution Limited,30/09/2025,https://www.bsesme.com/download/304088/SME_IPO%20InPrinciple/MOPSHOPDPFINAL_20250930232838.pdf
86,Jivial Industries Limited,30/09/2025,https://www.bsesme.com/download/341266/SME_IPO%20InPrinciple/JivialAddendumFinal_20251216201857.pdf
87,Goldline Pharmaceutical Limited,30/09/2025,https://www.bsesme.com/download/337239/SME_IPO%20InPrinciple/Addendum_alongwith_DRHP_20260113181429.pdf
88,Datasol (Bangalore) Limited,30/09/2025,https://www.bsesme.com/download/362308/SME_IPO%20InPrinciple/DRHP_Datasol_BSE_30092025_Final_20250930225714.pdf
89,VK TYRE INDIA LIMITED,30/09/2025,https://www.bsesme.com/download/328464/SME_IPO%20InPrinciple/DRHPwithAddendum_VKTyre_20260101133011.pdf
90,Highness Microelectronics Limited,30/09/2025,https://www.bsesme.com/download/380452/SME_IPO%20InPrinciple/DRHPandAddendum_20260101125542.pdf
91,Emiac Technologies Limited,30/09/2025,https://www.bsesme.com/download/331764/SME_IPO%20InPrinciple/AddendumandDRHP_20260127212512.pdf
92,PAN HR Solution Limited,30/09/2025,https://www.bsesme.com/download/352910/SME_IPO%20InPrinciple/DRHPPANHR_20250930211108.pdf
93,Kwick Forensic Solutions Limited,30/09/2025,https://www.bsesme.com/download/331759/SME_IPO%20InPrinciple/DRHP_Kwick_20260205222903.pdf
94,Acme India Industries Limited,30/09/2025,https://www.bsesme.com/download/364190/SME_IPO%20InPrinciple/DRHPwithAddendum_20260227133932.pdf
95,Novus Loyalty Limited,30/09/2025,https://www.bsesme.com/download/343373/SME_IPO%20InPrinciple/DRHP_NovusLoyalty_Addendum_20260205214136.pdf
96,MRC Infracon Limited,30/09/2025,https://www.bsesme.com/download/348068/SME_IPO%20InPrinciple/Addendum_to_DRHP_20251114161449.pdf
97,Vectras Enprocon Limited,30/09/2025,https://www.bsesme.com/download/301904/SME_IPO%20InPrinciple/Addendum_DRHP_10112025_20251110144848.pdf
98,Autofurnish Limited,30/09/2025,https://www.bsesme.com/download/325882/SME_IPO%20InPrinciple/AddendumandDraftProspectus_20260309113629.pdf
99,SAFETY CONTROLS & DEVICES LIMITED,30/09/2025,https://www.bsesme.com/download/381468/SME_IPO%20InPrinciple/26.DRHP_Safety_20250930234556.pdf
100,Tipco Engineering India Limited,30/09/2025,https://www.bsesme.com/download/345988/SME_IPO%20InPrinciple/AddendumandDRHP_Tipco_20251229230552.pdf
101,Phychem Technologies Limited,30/09/2025,https://www.bsesme.com/download/326946/SME_IPO%20InPrinciple/DRHP_20250930184332.pdf
102,Rajnandini Fashion India Limited,30/09/2025,https://www.bsesme.com/download/361142/SME_IPO%20InPrinciple/RFILDRHP_20250930184436.pdf
103,Jain International Power Limited,30/09/2025,https://www.bsesme.com/download/357219/SME_IPO%20InPrinciple/Addendumanddrhpjaininternational_20260106162906.pdf
104,Sobo Films Holding Limited,30/09/2025,https://www.bsesme.com/download/364960/SME_IPO%20InPrinciple/DP_SHFL_20250930175629.pdf
105,Seemax Resources Limited,30/09/2025,https://www.bsesme.com/download/318888/SME_IPO%20InPrinciple/DraftRedHerringProspectusSeemax_20251117135006.pdf
106,GABION TECHNOLOGIES INDIA LIMITED,30/09/2025,https://www.bsesme.com/download/374947/SME_IPO%20InPrinciple/DRHPwithAddendum_20251211205600.pdf
107,Accretion Nutraveda Limited,30/09/2025,https://www.bsesme.com/download/344576/SME_IPO%20InPrinciple/26.DRHP_Nutra_30.09.2025_20250930135710.pdf
108,Shakti Polytarp Limited,30/09/2025,https://www.bsesme.com/download/314858/SME_IPO%20InPrinciple/Addendum_DRHP_Shakti_16012026_20260116194701.pdf
109,Shivchem Agro limited,30/09/2025,https://www.bsesme.com/download/384075/SME_IPO%20InPrinciple/AddendumtotheDraftRedHerringProspectus_20251230112509.pdf
110,Harikanta Overseas Limited,30/09/2025,https://www.bsesme.com/download/347663/SME_IPO%20InPrinciple/Addendum_Harikanta_08.12.2025_20251208171815.pdf
111,Sai Urja Indo Ventures Limited,30/09/2025,https://www.bsesme.com/download/382873/SME_IPO%20InPrinciple/DRHPSAIURJA_20250930030528.pdf
112,INDO SMC Limited,30/09/2025,https://www.bsesme.com/download/319382/SME_IPO%20InPrinciple/Addendum_with_DRHP_20251208211337.pdf
113,Elfin Agro India Limited,30/09/2025,https://www.bsesme.com/download/340938/SME_IPO%20InPrinciple/DP_Elfin_BSE_29092025_Final_20250930024313.pdf
114,Shree Balaji (Mala) Textiles Limited,30/09/2025,https://www.bsesme.com/download/354771/SME_IPO%20InPrinciple/AddendumtoDRHPMala_20260107115429.pdf
115,Defrail Technologies Limited,30/09/2025,https://www.bsesme.com/download/380989/SME_IPO%20InPrinciple/DRHP_with_Addendum_DEFRAIL_20251126180841.pdf
116,HGI AUTOMOTIVES LIMITED,29/09/2025,https://www.bsesme.com/download/366254/SME_IPO%20InPrinciple/HGIAddendumwithDP_20251112132059.pdf
117,SPECIALITY MEDICINES LIMITED,29/09/2025,https://www.bsesme.com/download/354383/SME_IPO%20InPrinciple/DRHPSMPLFINALS_20250929233345.pdf
118,Yashhtej Industries (India) Limited,29/09/2025,https://www.bsesme.com/download/381706/SME_IPO%20InPrinciple/DP_Yashhtej_20250929223859.pdf
119,SJP ULTRASONICS LIMITED,29/09/2025,https://www.bsesme.com/download/334252/SME_IPO%20InPrinciple/SJPAddendumandDP_20260130193705.pdf
120,GRE RENEW ENERTECH LIMITED,29/09/2025,https://www.bsesme.com/download/360109/SME_IPO%20InPrinciple/GRE_DRHP_29.09.2025_6PM_QR_20250929185545.pdf
121,Segmental Infrastructure Development Limited,29/09/2025,https://www.bsesme.com/download/380955/SME_IPO%20InPrinciple/Addendum_DRHP_Segmental_Infrastructure_Development_Limited_20251201201602.pdf
122,ATHARVA POLY-PLAST LIMITED,29/09/2025,https://www.bsesme.com/download/378301/SME_IPO%20InPrinciple/DRHP_Atharva_Final_20250929181919.pdf
123,Chamelidevi Flour Mills Limited,29/09/2025,https://www.bsesme.com/download/382628/SME_IPO%20InPrinciple/DRHP_CDFML_Addendum_20260323211723.pdf
124,Roopa Screen Limited,29/09/2025,https://www.bsesme.com/download/393368/SME_IPO%20InPrinciple/DRHPaddendum_20260209223442.pdf
125,H. R. Hygiene Products Limited,29/09/2025,https://www.bsesme.com/download/369740/SME_IPO%20InPrinciple/DRHPHR28092025_20250929020934.pdf
126,Luxury Time Limited,28/09/2025,https://www.bsesme.com/download/371600/SME_IPO%20InPrinciple/Addendum_DRHP_20251110142009.pdf
127,Sampark India Logistics Limited,28/09/2025,https://www.bsesme.com/download/358933/SME_IPO%20InPrinciple/DRHP_Sampark_BSE_27092025_20250928054028.pdf
128,Vama Wovenfab Limited,27/09/2025,https://www.bsesme.com/download/323912/SME_IPO%20InPrinciple/DRHP_VAMA_20250927231509.pdf
129,Exato Technologies Limited,27/09/2025,https://www.bsesme.com/download/306717/SME_IPO%20InPrinciple/MergedADDRHP_20251112232635.pdf
130,Pajson Agro India Limited,27/09/2025,https://www.bsesme.com/download/307027/SME_IPO%20InPrinciple/DRHPPajsonAgroIndiaLimited_20250927145450.pdf
131,Oneindig Technologies Limited,27/09/2025,https://www.bsesme.com/download/329675/SME_IPO%20InPrinciple/Oneindig_Merged_09_20251209174938.pdf
132,Astron Multigrain Limited,25/09/2025,https://www.bsesme.com/download/327219/SME_IPO%20InPrinciple/DraftProspectusAstron25092025_20250925203648.pdf
133,Farm Peace Limited,24/09/2025,https://www.bsesme.com/download/369774/SME_IPO%20InPrinciple/AddendumcumDraftProspectus_20251127181824.pdf
134,Nanta Tech Limited,24/09/2025,https://www.bsesme.com/download/339668/SME_IPO%20InPrinciple/AddendumandDRHP_20251110155447.pdf
135,M.R.MANIVENI FOODS LIMITED,23/09/2025,https://www.bsesme.com/download/354444/SME_IPO%20InPrinciple/AddendumtoDRHP12122025_20251212105701.pdf
136,Injecto Polymers Limited,23/09/2025,https://www.bsesme.com/download/372306/SME_IPO%20InPrinciple/DRHPwithaddendum_20251212153216.pdf
137,Unisem Agritech Limited,22/09/2025,https://www.bsesme.com/download/358384/SME_IPO%20InPrinciple/DraftRedHerringProspectus_unisem_20250922231748.pdf
138,Matangi Rubber Limited,22/09/2025,https://www.bsesme.com/download/330302/SME_IPO%20InPrinciple/Addendum_and_DRHP_Matangi_Rubber_Limited_20251215154746.pdf
139,Digilogic Systems Limited,18/09/2025,https://www.bsesme.com/download/389464/SME_IPO%20InPrinciple/Addendum_DRHP_DSL_20260112130203.pdf
140,EverestIMS Technologies Limited,16/09/2025,https://www.bsesme.com/download/338040/SME_IPO%20InPrinciple/Addendum_DRHP_20260305203448.pdf
141,Topsun Energy Limited,15/09/2025,https://www.bsesme.com/download/362521/SME_IPO%20InPrinciple/DRHP_Final_20250915171549.pdf
142,Methodhub Software Limited,12/09/2025,https://www.bsesme.com/download/344942/SME_IPO%20InPrinciple/MethodhubSoftwareDRHP_20250912225602.pdf
143,HRS Aluglaze Limited,11/09/2025,https://www.bsesme.com/download/357605/SME_IPO%20InPrinciple/HRS_ALUGLAZE_LIMITED_ADDENDUM_DRHP_28102025_20251028194355.pdf
144,ANUBHAV PLAST LIMITED,09/09/2025,https://www.bsesme.com/download/300266/SME_IPO%20InPrinciple/AnubhavPlastLimitedAddendumDRHP_20260116214647.pdf
145,Helloji Holidays Limited,08/09/2025,https://www.bsesme.com/download/342246/SME_IPO%20InPrinciple/DRHPHellojiHolidays_20251023173118.pdf
146,Mother Nutri Foods Limited,08/09/2025,https://www.bsesme.com/download/321829/SME_IPO%20InPrinciple/DRHPMNFL_20250908020915.pdf
147,SMR Jewels Limited,06/09/2025,https://www.bsesme.com/download/372201/SME_IPO%20InPrinciple/DraftRedHerringProspectusSMRJewels_20250906140137.pdf
148,Access Point India Limited,05/09/2025,https://www.bsesme.com/download/320312/SME_IPO%20InPrinciple/AddendumandDP_20251110182607.pdf
149,Msafe Equipments Limited,05/09/2025,https://www.bsesme.com/download/312170/SME_IPO%20InPrinciple/AddendumDRHP_merged_20260113133412.pdf
150,STANBIK AGRO LIMITED,05/09/2025,https://www.bsesme.com/download/370036/SME_IPO%20InPrinciple/FinalDRHP_20251024204833.pdf
151,Century Business Media Limited,05/09/2025,https://www.bsesme.com/download/397611/SME_IPO%20InPrinciple/DRHP_and_Addendum_20251127182350.pdf
152,Narmadesh Brass Industries Limited,25/08/2025,https://www.bsesme.com/download/309582/SME_IPO%20InPrinciple/Draft_Prospectus_NBIL_20250825193337.pdf
153,Shayona Engineering Ltd.,24/08/2025,https://www.bsesme.com/download/341713/SME_IPO%20InPrinciple/AwithDRHP_20251118191844.pdf
154,Vegorama Punjabi Angithi Limited,23/08/2025,https://www.bsesme.com/download/351686/SME_IPO%20InPrinciple/Addendum_DRHP_20251017190118.pdf
155,Sodhani Capital Limited,20/08/2025,https://www.bsesme.com/download/387803/SME_IPO%20InPrinciple/SodhaniCapitalLimitedDraftProspectus_20250820234604.pdf
156,Sakhiya Skin Clinic Limited,18/08/2025,https://www.bsesme.com/download/379489/SME_IPO%20InPrinciple/Addendum_DRHP_Sakhiya_Skin_Clinic_Limited_20251025124714.pdf
157,ADMACH SYSTEMS LIMITED,18/08/2025,https://www.bsesme.com/download/383357/SME_IPO%20InPrinciple/AddendumDRHPAdmachsystemslimited_20251027134047.pdf
158,Gujarat Peanut and Agri Products Limited,14/08/2025,https://www.bsesme.com/download/315190/SME_IPO%20InPrinciple/DP_GPPL_BSE_12082025_Final_20250814182725.pdf
159,LIOTECH INDUSTRIES LIMITED,12/08/2025,https://www.bsesme.com/download/358221/SME_IPO%20InPrinciple/DraftProspectusLiotech_20250812221538.pdf
160,Sihora Industries Limited,11/08/2025,https://www.bsesme.com/download/375917/SME_IPO%20InPrinciple/SIHORADP_20250811202736.pdf
161,NATRINAI VENTURES LIMITED,11/08/2025,https://www.bsesme.com/download/328313/SME_IPO%20InPrinciple/Addendum_DRHP_NVL_20251010142426.pdf
162,JJ PV SOLAR LIMITED,07/08/2025,https://www.bsesme.com/download/335875/SME_IPO%20InPrinciple/JJ_PV_Solar_DRHP_20250806222420.pdf
163,Logiciel Solutions Limited,06/08/2025,https://www.bsesme.com/download/373721/SME_IPO%20InPrinciple/AddendumandDRHP_20251027122303.pdf
164,Infinity Infoway Limited,31/07/2025,https://www.bsesme.com/download/397071/SME_IPO%20InPrinciple/DRHPInfinity_20250731132557.pdf
165,Ravelcare Limited,30/07/2025,https://www.bsesme.com/download/318690/SME_IPO%20InPrinciple/DRHPRavel_20250730224704.pdf
166,Sharp Agricom Limited,30/07/2025,https://www.bsesme.com/download/331967/SME_IPO%20InPrinciple/DRHP_SharpAgricomltd_20250730172022.pdf
167,Kanishk Aluminium India Limited,30/07/2025,https://www.bsesme.com/download/399895/SME_IPO%20InPrinciple/KanishkAddendumwithDP_20260108183826.pdf
168,Om Metallogic Limited,27/07/2025,https://www.bsesme.com/download/344643/SME_IPO%20InPrinciple/DPOMMETAL_20250727025625.pdf
169,BharatRohan Airborne Innovations Limited,24/07/2025,https://www.bsesme.com/download/385141/SME_IPO%20InPrinciple/1DRHPBharatRohanAirborneInnovationsLimited_20250724213914.pdf
170,Nityanand Udyog Limited,24/07/2025,https://www.bsesme.com/download/319658/SME_IPO%20InPrinciple/AddendumDRHP_20251110181647.pdf
171,Riyaasat Lifestyle Limited,15/07/2025,https://www.bsesme.com/download/389631/SME_IPO%20InPrinciple/RiyaasatLifestyleLtd_20250715213356.pdf
172,MEHUL TELECOM LIMITED,14/07/2025,https://www.bsesme.com/download/355456/SME_IPO%20InPrinciple/Mehul_Telecom_Limited_Addendum_and_DRHP_20250821175458.pdf
173,M P K STEELS (I) LIMITED,14/07/2025,https://www.bsesme.com/download/334863/SME_IPO%20InPrinciple/DRHPwithAddendum_20250825161231.pdf
174,TRUE COLORS LIMITED,13/07/2025,https://www.bsesme.com/download/376857/SME_IPO%20InPrinciple/Addendum_DRHP_True_Colour_20250813130931.pdf
175,Telge Projects Limited,12/07/2025,https://www.bsesme.com/download/377843/SME_IPO%20InPrinciple/TelgeProjectsLimited_20250902125818.pdf
176,R. P. Multimetals Limited,11/07/2025,https://www.bsesme.com/download/388128/SME_IPO%20InPrinciple/Addendum_and_DRHP_20250917141742.pdf
177,Global Ocean Logistics India Limited,07/07/2025,https://www.bsesme.com/download/344670/SME_IPO%20InPrinciple/ADRHPGlobal07072025_20250918122157.pdf
