Company Name,City,Industry Segment,Website,Revenue Band,CIN,Promoter/Decision-Maker,Tailwinds,Differentiation Evidence,Source,Evidence Tags Normalized,ICP_Criteria_Met_Count,ICP_Coverage_Score,ICP_Weighted_Score,ICP_Blended_Weighted_Score,Blended_C1,Blended_C2,Blended_C3,Blended_C4,Blended_C5,Blended_C6,Step9_QA_Tags,Step9_QA_Flag_Count,Step9_Outreach_Note
Helloji Holidays Limited,"passed by the shareholders on May 06, 2025 from Union Territory of Chandigarh to National Capital Territory of Delhi",unspecified_see_drhp,www.helloji.com; www.khambattasecurities.com; www.maashitla.com,₹2 Cr (stated),U63040DL2012PLC452865,DRHP: Ms. Shikha Daruka; Ms. Shikha Daruka Company Secretary; Mr. Chandan Mishra Email; Mr. Mukul Agrawal Email; Mr. Chandan Mishra SEBI Registration No; Mr. Mukul Agrawal SEBI Registration No,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal,dsir_drhp_substantive_citation,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,dsir_drhp_substantive_citation|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal|no_explicit_expansion|hiring|certification_keywords_in_sampled_pages_—_check_md&a|risk_factors_in_full_drhp,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,,0,QA clean
Jiya Eco India Limited,"Bhavnagar – 364313, Gujarat",unspecified_see_drhp,www.bigshareonline.com; www.hemsecurities.com; www.jiyaecoindia.com,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Ms. Akanksha Akhilesh Srivastava; Mr. Bhavesh Jivrajbhai Kakadiya; Mr. Yogeshkumar Chimanlal Patel THE ISSUE INITIAL; Mr. Yogeshkumar Chimanlal Patel. For; Mrs. Hetalben Bhaveshbhai Kakadiya; Mr. Vipulbhai S. Vora. Mrs. Rita Vora; Mr. Jivrajbhai Gopalbhai Kakadiya. Issue Relat; Mr. Jivrajbhai Gopalbhai Kakadiya. Issue Related Terms,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned|subsidiary|group_structure,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
Kaneri Agro Industries Limited,"Lodariyal, Bavla Sanand Road, Ahmedabad-382220",unspecified_see_drhp,www.beelinebroking.com; www.kaneriagro.in; www.linkintime.co.in,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Ms. Asha Rameshwarlal Jain; Mr. Ritesh Kaushikbhai Patel; Mr. Nilesh Kaushikbhai Patel; Mrs. Palak Ritesh Patel Promoters Group Companies; Mr. Nileshkumar Kaushikbhai Patel; Mrs. Palak Ritesh Patel. For; Mrs. Palak Ritesh Patel; Mrs. Nidhi Nileshkumar Patel; Mrs. Indiraben Kaushikbhai Patel; Mr. Kaushikkumar Bhogilal Patel,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
Locksworth Infrastructure Limited,"Trade Centre, Plot No - P- 1 Netaji Subhash Place, Shakur Pur I Block, North West Delhi, India, 110034",unspecified_see_drhp,www.bigshareonline.com; www.gyrcapitaladvisors.com; www.locksworth.in,Extract from restated financials in DRHP (pattern not matched).,,Mr. Vipin Kumar Chaurasia,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned|subsidiary|group_structure,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
M.R.MANIVENI FOODS LIMITED,"Chennai, Andaman and Nicobar Islands, bearing Corporate Identity Number (",unspecified_see_drhp,https://www.mrgolddhall.com/; www.bigshareonline.com; www.capitalsquare.in,Extract from restated financials in DRHP (pattern not matched).,,DRHP: K R MANIKANDAN; M CHANDRA AND K SELVAM,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|capacity_expansion|iso_certification_mentioned,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
Malpani Pipes & Fittings Limited,"Area, Ratlam, Madhya Pradesh-457001, India",unspecified_see_drhp,www.bigshareonline.com; www.ifinservices.in; www.malpanipipes.com,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Rohit Malpani; Harsh Malpani; Mohit Malpani,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
Manisha Textiles Limited,"Survey No 6, House No 8 P, Gova MIDC, Vill Sarav ali, Bhiwandi -421302 Maharashtra, India",unspecified_see_drhp,www.kfintech.com; www.manishatextiles.in; www.rarever.in,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Ms. Kapila Shardul Tikke Company Secretary; Ms. Kapila Shardul Tikke,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned|subsidiary|group_structure,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
Qualitek Labs Limited,"73, National Park Lajpat Nagar- IV, New Delhi, South Delhi, 110024 India Ashima Bhatnagar Email:company",unspecified_see_drhp,www.oneviewadvisors.com; www.qualiteklab.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Mr. Kamal Grover Remuneration; Mr. Antaryami Nayak Remuneration; Mr. Alok Kumar Agarwal Investment,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
RAVIRAJ PROCESS CONTROLS LIMITED,"Plot No. A/677, TTC, MIDC, Khairne Navi Mumbai, Thane 400 709, Navi Mumbai, Maharashtra, India. Mr. Ravi Bansilal Darira Managing Director Email Id: info@raviraj.net Tel no: 022-45419000",unspecified_see_drhp,www.ekadrisht.com; www.raviraj.net,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Mr. Ravi Bansilal Darira Managing Director Email; Mr. Ravi Bansilal Darira. Email Id; Mr. Ravi Bansilal Darira; Mr. Balasubrahmanya Narayana Rao,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned|subsidiary|group_structure,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
Shine Fashions (India) Limited,"Mulund West Mumbai -400080, Maharashtra “you”, “your” or “yours” Prospective investors in this Issue",unspecified_see_drhp,www.amfabrics.in; www.cameoindia.com; www.shreni.in,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Mr. Anil Mehta; Ms Nidhi Jain; Ms. Nidhi Jain Director; Mr. Anish Anil Mehta Materiality Policy; Mr. Anish Anil Mehta; Mr. Anil Zaverchand Mehta; Mr. Anish Anil Mehta Mrs. Binal Anish; Ms. Purvi Anil Sanghvi; Mr. Ankit Hareshkumar Doshi; Mr. Sagar Hareshkumar Doshi,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned|subsidiary|group_structure,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
Shlokka Dyes Limited,"Saykha, Saran, Bharuch, Vagra, Gujarat, India-392140",unspecified_see_drhp,www.bigshareonline.com; www.ifinservices.in; www.shlokkadyes.com,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Mr. Siddharth Gajra Company Secretary; Mr. Siddharth Gajra; Mr. Siddharth Gajra Chief Financial Officer; Mr. Rajesh Patel. Act; Vaibhav Shah & Shivani Rajpurohit,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
SK International Export Limited,"78, Ground floor, A -2 Shah & Nahar Industrial Estate, Sitaram Jadhav Marg, Lower Parel, Mumbai-400013, Maharashtra, India “We”, “the”, “our” or “us” Unless the context otherwise indicates or implies, refers to our Company",unspecified_see_drhp,https://karisma.karvy.com; www.finshoregroup.com; www.skinternational.in,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Mr. Hitesh Shrawankumar Sadh; Mr. Shrawankumar Sadh; Mr. Hitesh Shrawankumar Sadh For,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|capex|capital_expenditure|iso_certification_mentioned|subsidiary|group_structure,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
Solvex Edibles Limited,"India, 244921",unspecified_see_drhp,www.corporatemakers.in; www.maashitla.com; www.solvexedibles.in,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Ms. Swati Vaish; Ms. Swati Vaish. Corporate Identification Number; Mr. Ashish Goel. MOA; Mr. Ashish Goel; Mr. Vishal Goel; Mrs. Rashika Gupta; Mr. Brij Bhushan Goel. Promoter Group Such,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
VVIP Infratech Limited,"Fifth Floor, VVIP Style, Nh-58 Raj Nagar Extension, Ghaziabad, Uttar Pradesh- 201017, India Kanchan Aggarwal, Company Secretary cum Compliance Officer E-mail: cs@vvipinfra.com Tel No: +91 9990060123",unspecified_see_drhp,www.maashitla.com; www.shareindia.com; www.vvipinfra.com,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Mr. Praveen Tyagi; Mr. Vaibhav Tyagi; Mr. Vibhor Tyagi DETAILS OF THE ISSUE,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
WESTERN OVERSEAS STUDY ABROAD LIMITED,"S.C.F No-27-28, Vikas Vihar, Ambala City, Ambala, Haryana, Pin Code: 134003. We / us / our Unless the context otherwise indicates or implies, refers to our Company you / your / yours Prospective Investors in this Issue",unspecified_see_drhp,www.skylinerta.com; www.sobhagyacap.com; www.western-overseas.com,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Ms. Shruti Gupta; Mr. Pardeep Balyan. MOA; Mr. Pardeep Balyan; Mrs. Rekha Rani. Promoter Group Such,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
3C IT Solutions and Telecoms (India) Limited,Office Contact Person Email and Telephone Website,unspecified_see_drhp,http://3citsolutions.com/; https://www.kreocapital.com/; https://www.skylinerta.com/,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Ms. Laxmi Tiwari Company Secretary; Ms. Laxmi Tiwari; Ms. Laxmi Tiwari Corporate Identification Number; Mr. Ranjit Kulladhaja Mayengbam MOA; Dr. Ambedkar Chowk; Mr. Ranjit Kulladhaja Mayengbam; Mrs. Gangarani Devi Mayengbam. Promoter Group Such,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,4,67,70.0,70.0,0.0,0.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
Abram Food Limited,Central Processing Centre,Manufacturing / Industrial,www.abramfood.in; www.corporatemakers.in; www.kfintech.com; www.kherliwala.com,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Mr. Sanjiva Gaur OUR; Mr. Pawan Mahur; Mr. Rohit Pareek SEBI Registration Number; Mr. M. Murali Krishna SEBI Registration Number; Mr. Sanjay Jain,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capacity_expansion_tailwind|workforce_scaling_signal,no_structured_differentiation_tag,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capacity_expansion_tailwind|workforce_scaling_signal|no_explicit_expansion|hiring|certification_keywords_in_sampled_pages_—_check_md&a|risk_factors_in_full_drhp,4,67,70.0,70.0,5.0,0.0,0.0,5.0,5.0,5.0,,0,QA clean
Aritas Vinyl Limited,"3. One of our promoter group company Elegant Vinyl Private Limited is engaged in the similar business in which issuer company is engaged which may create a conflict of interest. Further, we do not enjoy contractual protection by way of a non-compete or other agreement or arrangem...",unspecified_see_drhp,www.aritasvinyl.com; www.bigshareonline.com; www.ifinservices.in,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Mr. Anilkumar Prakashchandra Agrawal; Mr. Sanjaykumar Kantilal Patel; Mr. Roque Antonio Dias,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,4,67,70.0,70.0,0.0,0.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
Black Opal Consultants Limited,Central Processing Centre. The Corporate Identification Number of our Company is U70109DL2020PLC369011.,unspecified_see_drhp,www.blackopalgroup.in,₹2 Cr (stated),U70109DL2020PLC369011,DRHP: Ms. Anju Company Secretary; Mr. Chandan Mishra Email; Mr. Anuj Rana Email; Mr. Gaurav Bhardwaj. Corporate Identification Number; Ms. Anju. Corporate Office; Mr. Prasoon Chauhan; Mr. Sheikh Arfeen Ahmed; Mr. Prasoon Chauhan. Promoter Group Individuals,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind,dsir_drhp_substantive_citation,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,dsir_drhp_substantive_citation|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|capex|capital_expenditure|subsidiary|group_structure,4,67,70.0,70.0,0.0,0.0,5.0,5.0,5.0,5.0,generic_web_or_thin_ops_narrative,1,QA flagged
CREATEROI FINANCIAL CONSULTANCY LIMITED,See DRHP ‘General Information’ — address not matched by pattern.,unspecified_see_drhp,www.createroiconsulting.com; www.inventuremerchantbanker.com; www.satellitecorporate.com,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Ms. Sarita Chouhan,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,4,67,70.0,70.0,0.0,0.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
Gulf Lloyds (India) Limited,into fresh lease or leave and license agreement,unspecified_see_drhp,www.gulflloydsgroup.com; www.ifinservices.in; www.kfintech.Com,₹5–25 Cr (approx from lakhs),,DRHP: Jaykumar Bhavsar; Anitaben Bhavsar; Bhagirath Bhavsar; Shivaniben,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,4,67,70.0,70.0,0.0,0.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
Harikanta Overseas Limited,"Tel. No.: +919898682560; Website: www.harikantaoverseas.com; e-Mail: info@harikantaoverseas.com Contact Person: Swati Malu, Company Secretary and Compliance Officer",unspecified_see_drhp,www.bigshareonline.com; www.harikantaoverseas.com; www.ifinservices.in,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Mr. Hardik Gotawala; Mr. Abhishek Gotawala; Ms Carloss Pipe,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned|subsidiary|group_structure,4,67,70.0,70.0,0.0,0.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
Krupalu Metals Limited,to section titled “Our History and Certain Corporate Matters” beginning on page no 138 of the Draft Prospectus.,Media / Entertainment,www.krupalumetals.com,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Mr. S. Ramakrishna Iyengar CAMEO CORPORATE SERVICES; Ms. K. Sreepriya ISSUE PROGRAMME ISSUE OPENS; Mr. S. Ramakrishna Iyengar SEBI Registration No,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,4,67,70.0,70.0,0.0,0.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
